k,n,unresolved,clusters,excess_p,se_p,t,excess_gross_R,se_gross_R,ci_low_R,ci_high_R,mde_gross_R,p_arm,p_mirror,pct_long,label,cost_floor_R,beats_cost,multiple_of_cost,exec_tf,symbol,half,mechanism,cap
2.0,27654,344,1410,0.003507629999276777,0.003070185101128314,1.1424816041181682,0.010522889997830331,0.009210555303384943,-0.007529798396804156,0.028575578392464822,0.025789554849477835,0.3506545165256382,0.34714688652636144,0.5034353077312504,tf=15m,0.16579188904901385,False,0.06347047529399583,15.0,,,,
4.0,27588,410,1408,-0.0019392489488183268,0.0025760680379448052,-0.7527941499423538,-0.009696244744091633,0.012880340189724025,-0.03494171151595073,0.015549222027767456,0.036064952531227275,0.21371610845295055,0.2156553574017689,0.5032622879512831,tf=15m,0.16579188904901385,False,-0.058484433706072834,15.0,,,,
0.5,6968,34,1243,0.002798507462686567,0.005680405135510262,0.4926598360374134,0.004197761194029851,0.008520607703265393,-0.012502629904370321,0.02089815229243002,0.023857701569143096,0.6575774971297359,0.6547789896670494,0.5081802525832376,tf=60m,0.07342716323042812,False,0.05716905038066762,60.0,,,,
1.0,6950,52,1242,0.009280575539568346,0.006425677268680353,1.4442953095081768,0.01856115107913669,0.012851354537360705,-0.006627503814090292,0.04374980597236368,0.035983792704609975,0.5142446043165467,0.5049640287769784,0.5074820143884892,tf=60m,0.07342716323042812,False,0.25278316991340577,60.0,,,,
2.0,6921,81,1237,0.007224389539083947,0.006270077718603055,1.1522009556037063,0.02167316861725184,0.018810233155809167,-0.015194888368134124,0.0585412256026378,0.05266865283626566,0.3541395752058951,0.3469151856668112,0.5081635601791649,tf=60m,0.07342716323042812,False,0.29516554451705285,60.0,,,,
4.0,6857,145,1226,0.006416800350007292,0.005412614908240633,1.1855268587901568,0.03208400175003646,0.027063074541203165,-0.020959624350721746,0.08512762785079467,0.07577660871536887,0.23304652180253754,0.22662972145253027,0.5099897914539886,tf=60m,0.07342716323042812,False,0.4369500378129941,60.0,,,,
0.5,29456,786,354,0.022847637153720804,0.0026660167923272795,8.569952454716585,0.034271455730581206,0.003999025188490919,0.026433366361139007,0.042109545100023404,0.011197270527774573,0.6627512221618685,0.6399035850081477,0.501459804454101,symbol=BTCUSD,0.42236038574621404,False,0.08114268498460478,,BTCUSD,,,
1.0,29434,808,354,0.008510566012094857,0.0030836137184234165,2.759932595074237,0.017021132024189714,0.006167227436846833,0.004933366247969922,0.029108897800409504,0.01726823682317113,0.506489094244751,0.4979785282326561,0.5015967928246245,symbol=BTCUSD,0.42236038574621404,False,0.04030002007436676,,BTCUSD,,,
2.0,29412,830,354,-0.002226982184142527,0.0031901664368895718,-0.6980771154729613,-0.006680946552427581,0.009570499310668716,-0.02543912520133826,0.012077232096483101,0.0267973980698724,0.344281245750034,0.3465082279341765,0.5014959880320957,symbol=BTCUSD,0.42236038574621404,False,-0.015818118312928137,,BTCUSD,,,
4.0,29368,874,353,-0.0068782348134023424,0.0028622454219579814,-2.403090510909835,-0.03439117406701171,0.014311227109789907,-0.06244117920219992,-0.006341168931823494,0.04007143590741174,0.2107736311631708,0.21765186597657313,0.5014641786979025,symbol=BTCUSD,0.42236038574621404,False,-0.08142613565959882,,BTCUSD,,,
0.5,30015,306,354,0.018074296185240712,0.0026554321696643634,6.806536574995714,0.027111444277861066,0.003983148254496545,0.019304473699047843,0.034918414856674296,0.011152815112590324,0.6707313010161586,0.6526570048309178,0.5057138097617858,symbol=ETHUSD,0.24670428793803012,False,0.10989449962325427,,ETHUSD,,,
1.0,29994,327,353,0.009701940388077616,0.0032352290367513746,2.998841898940092,0.019403880776155232,0.006470458073502749,0.0067217829520898435,0.032085978600220624,0.018117282605807698,0.5160365406414616,0.5063346002533841,0.5057344802293792,symbol=ETHUSD,0.24670428793803012,False,0.07865238556789621,,ETHUSD,,,
2.0,29955,366,353,0.004707060590886329,0.00315834925773287,1.4903546779576737,0.014121181772658989,0.00947504777319861,-0.0044499118628102885,0.03269227540812827,0.026530133764956106,0.3525287931897847,0.34782173259889837,0.5057252545484894,symbol=ETHUSD,0.24670428793803012,False,0.05723930415107378,,ETHUSD,,,
4.0,29926,395,353,0.001587248546414489,0.0028169355790988513,0.5634663988028636,0.007936242732072446,0.014084677895494257,-0.0196697259430963,0.03554221140724119,0.03943709810738392,0.21894005212858383,0.21735280358216935,0.505747510525964,symbol=ETHUSD,0.24670428793803012,False,0.03216905064117069,,ETHUSD,,,
0.5,28529,699,353,0.024781800974447054,0.0027645138716251654,8.964252713218857,0.03717270146167058,0.004146770807437748,0.029045030679092594,0.04530037224424857,0.011610958260825692,0.6692137824669634,0.6444319814925163,0.501664972484139,symbol=SOLUSD,0.2033817135332048,False,0.18277307637887333,,SOLUSD,,,
1.0,28501,727,353,0.01328023578120066,0.0031886413565634453,4.164857158947916,0.02656047156240132,0.006377282713126891,0.014060997444672613,0.03905994568013002,0.017856391596755294,0.5128942844110733,0.49961404862987263,0.5014911757482193,symbol=SOLUSD,0.2033817135332048,False,0.13059419699532113,,SOLUSD,,,
