trades,effective_n,deff,gross_expectancy,net_expectancy,fee_R,slippage_R,funding_R,cost_per_R,win_rate,profit_factor,median_stop_pct,median_hold_min,pct_target,median_concurrency,max_concurrency,candidate_id,mechanism,exec_tf,pair,cb_gross,cb_net,cb_trades,cb_seed_sd,excess_gross_cb,excess_net_cb
7112,4896.5,1.452,0.04949381327334083,-0.5497853552116868,0.44751762797447897,0.15170089083880645,6.064967174226519e-05,0.5992791684850276,0.33816085489313835,0.473,0.36701763381040176,42.0,34.983127109111365,0.0,5.0,M4|5m|12/26|d0.5,M4,5,12/26,0.030172594409750723,-1.0903816825553612,24468.0,0.12106788202523512,0.019321218863590103,0.5405963273436744
6938,2878.3,2.41,0.05030268088786393,-0.32838225518277026,0.2824526648407428,0.0957466660477094,0.0004856051821819868,0.3786849360706342,0.3490919573364082,0.632,0.5145011983447316,75.0,35.010089362928795,0.0,5.0,M5|5m|12/26,M5,5,12/26,0.02994051858615205,-0.5817770508151439,23361.0,0.06907486674181698,0.02036216230171188,0.2533947956323736
8102,5788.6,1.4,0.044927178474450755,-0.28668896134906324,0.24774142060294288,0.08398014257726877,-0.00010542335669757153,0.33161613982351407,0.34744507529005186,0.671,0.6249387365666906,111.0,34.83090594914836,1.0,8.0,M1|5m|20/50,M1,5,20/50,0.036368424233514086,-0.4201389148370195,15394.0,0.0663428821365026,0.008558754240936668,0.13344995348795624
7498,5398.2,1.389,0.050680181381701786,-0.27519314152558666,0.24346746512870465,0.0825313441114253,-0.00012548633284149494,0.3258733229072885,0.3495598826353694,0.682,0.6383640447704014,117.0,35.02267271272339,1.0,6.0,M2|5m|20/50|s0.00,M2,5,20/50,0.04472953739367673,-0.47798710416681456,15279.0,0.04561512691611109,0.005950643988025056,0.2027939626412279
2272,1662.0,1.367,0.036531690140845084,-0.20613658749361008,0.1807927799302703,0.06128568811195602,0.0005898095922288262,0.24266827763445514,0.34507042253521125,0.747,0.8716809531152435,190.5,34.55105633802817,0.0,4.0,M2|5m|20/50|s0.25,M2,5,20/50,0.015598510385483244,-0.38845703000369897,7568.0,0.10426788257550956,0.02093317975536184,0.1823204425100889
40,39.6,1.01,-0.175,-0.3987093981577524,0.16110391631752735,0.05461149705678893,0.007993984783436181,0.22370939815775248,0.275,0.539,1.7083258388810334,486.0,27.500000000000004,0.0,0.0,M2|5m|20/50|s0.50,M2,5,20/50,-0.06999999999999999,-0.34890877022737643,200.0,0.25865993910297563,-0.105,-0.049800627930375985
795,616.5,1.289,0.09433962264150944,-0.10750720863256337,0.15070035314113947,0.051084865471572705,6.161266136061783e-05,0.20184683127407277,0.3635220125786163,0.859,1.0166280585592766,165.0,36.477987421383645,0.0,2.0,M3|5m|20/50|v1.2,M3,5,20/50,-0.015175898908181865,-0.4249306009191048,3293.0,0.22657114548865184,0.10951552154969131,0.31742339228654143
160,127.8,1.252,0.18125,0.037491524935067536,0.10766848658084349,0.036497792061302874,-0.0004078035772139202,0.14375847506493242,0.39375,1.054,1.52037642316916,238.0,39.375,0.0,2.0,M3|5m|20/50|v1.5,M3,5,20/50,0.06566223804958225,-0.22005824410165625,743.0,0.2603532237644488,0.11558776195041774,0.2575497690367238
1719,1514.5,1.135,0.01570680628272259,-0.7427884372209693,0.5661387721536225,0.19191144818766867,0.00044502316240074255,0.7584952435036919,0.3170447934845841,0.377,0.3133253498252924,31.0,33.85689354275742,0.0,3.0,M4|5m|20/50|d0.25,M4,5,20/50,0.07219860085889429,-1.4101702627165769,7770.0,0.34472498659392403,-0.056491794576171706,0.6673818254956075
3003,2195.8,1.368,0.05494505494505497,-0.6807683102550711,0.5497447326683685,0.18635414666724356,-0.0003855141354860037,0.735713365200126,0.33000333000333,0.412,0.33859441090184955,37.0,35.16483516483517,0.0,3.0,M4|5m|20/50|d0.5,M4,5,20/50,0.0317352482533816,-1.2516129596919077,12262.0,0.1331693828644599,0.02320980669167337,0.5708446494368365
