symbol,endpoint,horizon,decile,n_shock,n_base,median_shock,median_base,ratio,used
BTCUSD,normalised,30,6,552,27844,0.5197343224323734,0.4632569352996866,1.1219137433876751,True
BTCUSD,normalised,30,7,586,27810,0.5962133974878592,0.4728746977615137,1.2608274460659539,True
BTCUSD,normalised,30,8,798,27598,0.668782977143871,0.4650422533769411,1.4381122839644152,True
BTCUSD,normalised,30,9,1233,27163,0.804253888383589,0.5130853611682951,1.5674855477308949,True
ETHUSD,normalised,30,0,252,29300,0.39302222431379924,0.3234584570519962,1.2150624469547278,True
ETHUSD,normalised,30,1,302,29250,0.47225818205275705,0.3771740020345579,1.2520963255826079,True
ETHUSD,normalised,30,2,341,29211,0.5606373980396888,0.3998277031332456,1.4021974806804525,True
ETHUSD,normalised,30,3,376,29176,0.5214214695940524,0.41908780506278676,1.2441819191468344,True
ETHUSD,normalised,30,4,446,29106,0.5003971740459012,0.4334408466275099,1.1544762749966022,True
ETHUSD,normalised,30,5,488,29065,0.5255834665818968,0.4443806648454209,1.1827325267734647,True
ETHUSD,normalised,30,6,526,29026,0.528331944880372,0.4503766979839835,1.17308898805231,True
ETHUSD,normalised,30,7,631,28920,0.5947508767775568,0.4677321905751455,1.271562848916221,True
ETHUSD,normalised,30,8,768,28784,0.6007639133562935,0.47999925265293153,1.2515934348562041,True
ETHUSD,normalised,30,9,1350,28203,0.7489407505406905,0.5278456037002528,1.4188632912551278,True
SOLUSD,normalised,30,0,592,32632,0.4179355587041712,0.3874100753123946,1.0787937261754534,True
SOLUSD,normalised,30,1,555,32669,0.47817443619958794,0.4219952683414881,1.133127482871771,True
SOLUSD,normalised,30,2,593,32631,0.5242749895082399,0.4370652681281784,1.1995347783033756,True
SOLUSD,normalised,30,3,631,32593,0.5124073512297006,0.44844748992247735,1.14262508486396,True
SOLUSD,normalised,30,4,700,32524,0.5638923684749082,0.46125684302926034,1.222512743164088,True
SOLUSD,normalised,30,5,722,32502,0.541751377932756,0.46350016955354734,1.1688267092859572,True
SOLUSD,normalised,30,6,760,32464,0.5584749684148222,0.4854357387966348,1.1504611708220065,True
SOLUSD,normalised,30,7,930,32294,0.5248368956520534,0.49747618316854325,1.054999039972614,True
SOLUSD,normalised,30,8,1031,32193,0.6245702560810421,0.5254330140950915,1.1886772230265856,True
SOLUSD,normalised,30,9,1444,31780,0.7618264037096844,0.5396181963537346,1.4117878323181787,True
XRPUSD,normalised,30,0,916,22835,0.43469017266867294,0.4045346378256833,1.0745437646701193,True
XRPUSD,normalised,30,1,931,22820,0.4334706743187225,0.4314011075661114,1.0047973144164772,True
XRPUSD,normalised,30,2,914,22837,0.5034665166417045,0.4351154130637844,1.1570872957513467,True
XRPUSD,normalised,30,3,904,22846,0.5367267326199019,0.44419338339452663,1.2083177117998365,True
XRPUSD,normalised,30,4,992,22759,0.5143315788660865,0.4570571263868873,1.1253113651940256,True
XRPUSD,normalised,30,5,968,22783,0.5462239066943774,0.45578731881539414,1.1984183941625028,True
XRPUSD,normalised,30,6,967,22783,0.568007514576205,0.47424655640585156,1.1977050901137478,True
XRPUSD,normalised,30,7,1001,22750,0.5956033726399209,0.4834497128682057,1.231986195847198,True
XRPUSD,normalised,30,8,1000,22751,0.6368033352279538,0.48751516251212657,1.3062226248442352,True
XRPUSD,normalised,30,9,1213,22538,0.8016807783889033,0.530220461544348,1.5119763127471273,True
