underlying,expiry_ts,expiry,entry_ts,spot_at_entry,strike,call_symbol,put_symbol,call_premium,put_premium,straddle_premium,call_settlement,put_settlement,straddle_payout,contract_value,tick_size,taker_fee,realised_abs_move,premium_frac_of_spot,gross_return_on_premium,cost_frac_of_premium,net_return_on_premium,entry_time_utc,entry_time_ist,exit_time_utc,exit_reason,win
ETH,1709208000,2024-02-29 12:00:00+00:00,1709121600,3300.93,3300.0,C-ETH-3300-290224,P-ETH-3300-290224,54.452184,48.578662,103.030846,212.89448275862,0.0,212.89448275862,0.01,0.01,0.0003,212.89448275862,0.0312126721863232,-1.066317913750024,0.072166189461358,-1.1384841032113822,2024-02-28 12:00:00+00:00,2024-02-28 17:30:00+05:30,2024-02-29 12:00:00+00:00,settlement,False
ETH,1709294400,2024-03-01 12:00:00+00:00,1709208000,3501.3,3500.0,C-ETH-3500-010324,P-ETH-3500-010324,68.23015,66.986739,135.21688899999998,0.0,90.5189655172417,90.5189655172417,0.01,0.01,0.0003,90.5189655172417,0.0386190526375917,0.3305646492337084,0.0634658398715267,0.26709880936218167,2024-02-29 12:00:00+00:00,2024-02-29 17:30:00+05:30,2024-03-01 12:00:00+00:00,settlement,True
ETH,1709380800,2024-03-02 12:00:00+00:00,1709294400,3412.5,3420.0,C-ETH-3420-020324,P-ETH-3420-020324,43.907964,46.492338,90.400302,0.0,9.118620689654,9.118620689654,0.01,0.01,0.0003,9.118620689654,0.0264909309890109,0.8991306390806748,0.08025225505994438,0.8188783840207304,2024-03-01 12:00:00+00:00,2024-03-01 17:30:00+05:30,2024-03-02 12:00:00+00:00,settlement,True
ETH,1709467200,2024-03-03 12:00:00+00:00,1709380800,3408.83,3400.0,C-ETH-3400-030324,P-ETH-3400-030324,28.436371,19.442866,47.879237,8.9117241379313,0.0,8.9117241379313,0.01,0.01,0.0003,8.9117241379313,0.0140456511471677,0.8138707987779483,0.12761412283157308,0.6862566759463753,2024-03-02 12:00:00+00:00,2024-03-02 17:30:00+05:30,2024-03-03 12:00:00+00:00,settlement,True
ETH,1709553600,2024-03-04 12:00:00+00:00,1709467200,3412.25,3420.0,C-ETH-3420-040324,P-ETH-3420-040324,32.308158,35.972029,68.280187,82.817931034483,0.0,82.817931034483,0.01,0.01,0.0003,82.817931034483,0.0200103119642464,-0.212913067072927,0.09756351445844752,-0.31047658153137453,2024-03-03 12:00:00+00:00,2024-03-03 17:30:00+05:30,2024-03-04 12:00:00+00:00,settlement,False
ETH,1709640000,2024-03-05 12:00:00+00:00,1709553600,3497.91,3500.0,C-ETH-3500-050324,P-ETH-3500-050324,57.20967,53.713391,110.923061,232.816896551724,0.0,232.816896551724,0.01,0.01,0.0003,232.816896551724,0.031711239282886,-1.0989043617514664,0.07145293794948553,-1.170357299700952,2024-03-04 12:00:00+00:00,2024-03-04 17:30:00+05:30,2024-03-05 12:00:00+00:00,settlement,False
ETH,1709726400,2024-03-06 12:00:00+00:00,1709640000,3737.52,3740.0,C-ETH-3740-060324,P-ETH-3740-060324,64.017582,58.961198,122.97878,137.5424137931036,0.0,137.5424137931036,0.01,0.01,0.0003,137.5424137931036,0.0329038453305935,-0.1184239573128275,0.06983448383534134,-0.18825844114816884,2024-03-05 12:00:00+00:00,2024-03-05 17:30:00+05:30,2024-03-06 12:00:00+00:00,settlement,False
ETH,1709812800,2024-03-07 12:00:00+00:00,1709726400,3893.93,3900.0,C-ETH-3900-070324,P-ETH-3900-070324,82.518175,84.092801,166.610976,0.0,118.36551724138,118.36551724138,0.01,0.01,0.0003,118.36551724138,0.0427873577593844,0.2895695104662252,0.05989388740391269,0.2296756230623125,2024-03-06 12:00:00+00:00,2024-03-06 17:30:00+05:30,2024-03-07 12:00:00+00:00,settlement,True
ETH,1709899200,2024-03-08 12:00:00+00:00,1709812800,3794.86,3800.0,C-ETH-3800-080324,P-ETH-3800-080324,63.974081,67.879293,131.853374,143.1841379310354,0.0,143.1841379310354,0.01,0.01,0.0003,143.1841379310354,0.0347452538433565,-0.0859345770782884,0.06755376759035381,-0.1534883446686422,2024-03-07 12:00:00+00:00,2024-03-07 17:30:00+05:30,2024-03-08 12:00:00+00:00,settlement,False
ETH,1709985600,2024-03-09 12:00:00+00:00,1709899200,3945.98,3940.0,C-ETH-3940-090324,P-ETH-3940-090324,60.019602,55.615415,115.635017,0.0,27.627586206897,27.627586206897,0.01,0.01,0.0003,27.627586206897,0.0293045116802416,0.7610794124162492,0.07512020459684804,0.6859592078194012,2024-03-08 12:00:00+00:00,2024-03-08 17:30:00+05:30,2024-03-09 12:00:00+00:00,settlement,True
ETH,1710072000,2024-03-10 12:00:00+00:00,1709985600,3909.64,3900.0,C-ETH-3900-100324,P-ETH-3900-100324,37.531317,26.696894,64.228211,31.4634482758624,0.0,31.4634482758624,0.01,0.01,0.0003,31.4634482758624,0.0164281649972887,0.5101303961920658,0.11299343671272424,0.3971369594793416,2024-03-09 12:00:00+00:00,2024-03-09 17:30:00+05:30,2024-03-10 12:00:00+00:00,settlement,True
ETH,1710158400,2024-03-11 12:00:00+00:00,1710072000,3934.57,3940.0,C-ETH-3940-110324,P-ETH-3940-110324,49.801188,50.471247,100.272435,99.4120689655183,0.0,99.4120689655183,0.01,0.01,0.0003,99.4120689655183,0.0254849792988814,0.0085802846463407,0.08236214048257628,-0.07378185583623559,2024-03-10 12:00:00+00:00,2024-03-10 17:30:00+05:30,2024-03-11 12:00:00+00:00,settlement,True
ETH,1710244800,2024-03-12 12:00:00+00:00,1710158400,4036.46,4040.0,C-ETH-4040-120324,P-ETH-4040-120324,72.312176,71.881396,144.193572,0.0,12.6155172413796,12.6155172413796,0.01,0.01,0.0003,12.6155172413796,0.0357227798615618,0.912509850013428,0.06643857251556261,0.8460712774978654,2024-03-11 12:00:00+00:00,2024-03-11 17:30:00+05:30,2024-03-12 12:00:00+00:00,settlement,True
ETH,1710331200,2024-03-13 12:00:00+00:00,1710244800,4024.94,4020.0,C-ETH-4020-130324,P-ETH-4020-130324,72.134605,62.98562,135.120225,31.086206896552,0.0,31.086206896552,0.01,0.01,0.0003,31.086206896552,0.0335707426694559,0.769936684929647,0.06897958518053088,0.7009570997491161,2024-03-12 12:00:00+00:00,2024-03-12 17:30:00+05:30,2024-03-13 12:00:00+00:00,settlement,True
ETH,1710417600,2024-03-14 12:00:00+00:00,1710331200,4048.78,4040.0,C-ETH-4040-140324,P-ETH-4040-140324,62.07355,49.988332,112.061882,0.0,89.3234482758617,89.3234482758617,0.01,0.01,0.0003,89.3234482758617,0.0276779380455347,0.2029096184922033,0.07795988039536941,0.12494973809683388,2024-03-13 12:00:00+00:00,2024-03-13 17:30:00+05:30,2024-03-14 12:00:00+00:00,settlement,True
ETH,1710504000,2024-03-15 12:00:00+00:00,1710417600,3958.55,3950.0,C-ETH-3950-150324,P-ETH-3950-150324,63.645083,46.258911,109.903994,0.0,278.534827586207,278.534827586207,0.01,0.01,0.0003,278.534827586207,0.0277636998395877,-1.5343467279833976,0.07780184803110976,-1.6121485760145073,2024-03-14 12:00:00+00:00,2024-03-14 17:30:00+05:30,2024-03-15 12:00:00+00:00,settlement,False
ETH,1710590400,2024-03-16 12:00:00+00:00,1710504000,3692.48,3700.0,C-ETH-3700-160324,P-ETH-3700-160324,69.992214,76.957442,146.949656,0.0,10.0479310344826,10.0479310344826,0.01,0.01,0.0003,10.0479310344826,0.0397970079729612,0.9316233102683644,0.06238056427161694,0.8692427459967474,2024-03-15 12:00:00+00:00,2024-03-15 17:30:00+05:30,2024-03-16 12:00:00+00:00,settlement,True
ETH,1710676800,2024-03-17 12:00:00+00:00,1710590400,3686.82,3680.0,C-ETH-3680-170324,P-ETH-3680-170324,36.635801,27.566265,64.202066,0.0,98.2096551724144,98.2096551724144,0.01,0.01,0.0003,98.2096551724144,0.017413941011495,-0.5296961809985118,0.10811416082466878,-0.6378103418231805,2024-03-16 12:00:00+00:00,2024-03-16 17:30:00+05:30,2024-03-17 12:00:00+00:00,settlement,False
ETH,1710763200,2024-03-18 12:00:00+00:00,1710676800,3585.42,3580.0,C-ETH-3580-180324,P-ETH-3580-180324,55.33062,45.590736,100.921356,23.9931034482765,0.0,23.9931034482765,0.01,0.01,0.0003,23.9931034482765,0.028147708218284,0.7622594027742107,0.0771060493955313,0.6851533533786793,2024-03-17 12:00:00+00:00,2024-03-17 17:30:00+05:30,2024-03-18 12:00:00+00:00,settlement,True
ETH,1710849600,2024-03-19 12:00:00+00:00,1710763200,3602.07,3600.0,C-ETH-3600-190324,P-ETH-3600-190324,55.233112,58.147618,113.38073,0.0,341.604137931035,341.604137931035,0.01,0.01,0.0003,341.604137931035,0.0314765482070031,-2.012894148159348,0.07178587299623138,-2.0846800211555796,2024-03-18 12:00:00+00:00,2024-03-18 17:30:00+05:30,2024-03-19 12:00:00+00:00,settlement,False
