underlying,expiry_ts,expiry,spot_at_obs,settle,max_pain,n_strikes,total_oi,pull,move
BTC,1723118400,2024-08-08 12:00:00+00:00,56919.3,57443.88620689655,56400.0,51,99.451,-0.009123443190622563,0.009216315149633792
BTC,1723464000,2024-08-12 12:00:00+00:00,60602.4,59745.520689655175,60600.0,28,103.93999999999997,-3.960239198449988e-05,-0.014139362638192977
BTC,1723809600,2024-08-16 12:00:00+00:00,58679.7,58385.64137931035,59000.0,51,179.849,0.005458446447408609,-0.005011249558018323
BTC,1724155200,2024-08-20 12:00:00+00:00,58395.3,60532.78965517242,58400.0,26,82.78,8.048592951825043e-05,0.03660379611325596
BTC,1724500800,2024-08-24 12:00:00+00:00,60828.9,64056.244827586204,61000.0,31,94.638,0.002812807727905626,0.053056110296030384
BTC,1724846400,2024-08-28 12:00:00+00:00,62321.4,59978.59655172414,62200.0,28,78.30199999999999,-0.0019479665090964171,-0.0375922788685084
BTC,1725192000,2024-09-01 12:00:00+00:00,59106.5,58064.231034482764,59000.0,30,88.43299999999999,-0.001801832285789211,-0.01763374528211341
BTC,1725537600,2024-09-05 12:00:00+00:00,56626.1,56749.324137931035,56600.0,35,138.81900000000002,-0.00046091819849854653,0.002176101443169073
BTC,1725883200,2024-09-09 12:00:00+00:00,54525.1,55261.196551724126,54200.0,38,102.78399999999999,-0.005962391632477493,0.013500141250985831
BTC,1726228800,2024-09-13 12:00:00+00:00,58060.2,58089.824137931035,58000.0,53,160.476,-0.0010368548506549597,0.0005102314137918522
BTC,1726574400,2024-09-17 12:00:00+00:00,58717.7,59110.113793103475,58600.0,25,69.073,-0.0020045063072974094,0.006683057972357201
BTC,1726920000,2024-09-21 12:00:00+00:00,63440.0,63080.65862068966,63400.0,41,92.035,-0.0006305170239596469,-0.005664271426707741
BTC,1727265600,2024-09-25 12:00:00+00:00,63530.1,63752.106896551726,63400.0,30,73.84799999999998,-0.0020478481853483397,0.0034945151440297995
BTC,1727611200,2024-09-29 12:00:00+00:00,65715.2,65686.78275862068,65800.0,25,86.436,0.0012904168289832932,-0.0004324302654380274
BTC,1727956800,2024-10-03 12:00:00+00:00,61134.1,60759.213793103474,61200.0,36,71.34400000000001,0.001077958128115102,-0.006132194747228217
BTC,1728302400,2024-10-07 12:00:00+00:00,62097.3,62868.896551724145,62000.0,24,113.79899999999999,-0.0015668958231678817,0.012425605488872173
BTC,1728648000,2024-10-11 12:00:00+00:00,61239.8,61198.965517241384,61400.0,47,211.50399999999996,0.002615945839143777,-0.0006667964748189711
BTC,1728993600,2024-10-15 12:00:00+00:00,64871.3,65501.200000000004,64600.0,28,73.121,-0.004182126764840583,0.009709995020910656
BTC,1729339200,2024-10-19 12:00:00+00:00,67752.2,68156.69655172415,67600.0,26,104.541,-0.0022464215184155954,0.005970234940328886
BTC,1729684800,2024-10-23 12:00:00+00:00,67375.5,66462.81379310344,67000.0,30,106.54500000000002,-0.005573242499128021,-0.013546262467759891
BTC,1730030400,2024-10-27 12:00:00+00:00,67160.5,67146.8275862069,67200.0,27,126.63,0.00058814332829565,-0.00020357820136987427
BTC,1730376000,2024-10-31 12:00:00+00:00,71815.0,72280.2551724138,72200.0,42,97.39,0.005360997006196477,0.006478523601111229
BTC,1730721600,2024-11-04 12:00:00+00:00,68367.9,68809.99655172414,68600.0,33,80.42,0.0033948680594256347,0.006466434565404848
BTC,1731067200,2024-11-08 12:00:00+00:00,74914.3,76087.04827586205,74400.0,71,218.83799999999997,-0.00686517794332995,0.01565453158959032
BTC,1731412800,2024-11-12 12:00:00+00:00,82145.2,87441.00689655174,81200.0,50,91.311,-0.011506454424604202,0.06446885388984074
BTC,1731758400,2024-11-16 12:00:00+00:00,89751.1,91102.88275862068,90000.0,53,81.498,0.0027732250635367607,0.015061461738303703
BTC,1732104000,2024-11-20 12:00:00+00:00,91918.1,93327.15862068968,92000.0,43,81.167,0.0008910105844223736,0.015329501161247563
BTC,1732449600,2024-11-24 12:00:00+00:00,98422.8,97397.50000000003,98400.0,43,128.32600000000002,-0.00023165364122950077,-0.010417301682130297
BTC,1732795200,2024-11-28 12:00:00+00:00,93332.9,95280.97241379309,93200.0,63,107.275,-0.0014239351825561424,0.02087230134061082
BTC,1733140800,2024-12-02 12:00:00+00:00,97100.8,95147.0275862069,97000.0,34,144.827,-0.0010380964935407628,-0.02012107432475435
BTC,1733486400,2024-12-06 12:00:00+00:00,102569.7,97946.32413793105,102000.0,56,261.23699999999997,-0.00555427187561236,-0.04507545466223405
BTC,1733832000,2024-12-10 12:00:00+00:00,98233.6,97682.18275862066,98600.0,37,94.15599999999998,0.003729884683041181,-0.005613326207930302
BTC,1734177600,2024-12-14 12:00:00+00:00,100406.4,101631.4103448276,100200.0,47,156.67900000000003,-0.002055645855244229,0.012200520532830635
BTC,1734523200,2024-12-18 12:00:00+00:00,106810.7,104872.38965517242,106600.0,53,146.604,-0.0019726488076568837,-0.018147155152316945
