k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,scenario,signal_real,economics_viable
1.0,0.0025,82656,1415,14,0.002068815331010453,0.004271758265789013,0.4843006561440652,-0.006303830869936012,0.010441461531956919,0.5021897986837012,0.501155391018196,0.004379597367402344,0.0023107820363919007,0.552,-0.5476204026325977,-0.5496892179636081,0.002068815331010453,0.002068815331010453,0.0037478538605261826,266.8193684210527,5,ALL,primary,B,B_low_slip,False,False
1.0,0.0025,82656,1415,14,0.002068815331010453,0.004271758265789013,0.4843006561440652,-0.006303830869936012,0.010441461531956919,0.5021897986837012,0.501155391018196,0.004379597367402344,0.0023107820363919007,0.872,-0.8676204026325977,-0.8696892179636081,0.002068815331010453,0.002068815331010453,0.002372494645654189,421.49726315789474,5,ALL,primary,B,C_high_slip,False,False
1.0,0.0025,82656,1415,14,0.002068815331010453,0.004271758265789013,0.4843006561440652,-0.006303830869936012,0.010441461531956919,0.5021897986837012,0.501155391018196,0.004379597367402344,0.0023107820363919007,0.4104,-0.40602040263259764,-0.4080892179636081,0.002068815331010453,0.002068815331010453,0.005040973028777907,198.3744,5,ALL,primary,B,D_fee_sens,False,False
0.25,0.005,82650,1415,20,0.0008696309739866909,0.0016070369952271137,0.5411393618003117,-0.0022801615366584522,0.004019423484631834,0.7916394434361766,0.7909437386569873,-0.01045069570477919,-0.011320326678765813,0.316,-0.3264506957047792,-0.3273203266787658,0.0008696309739866909,0.0008696309739866909,0.0027519967531224395,363.37252173913043,5,ALL,primary,B,A_baseline,False,False
0.25,0.005,82650,1415,20,0.0008696309739866909,0.0016070369952271137,0.5411393618003117,-0.0022801615366584522,0.004019423484631834,0.7916394434361766,0.7909437386569873,-0.01045069570477919,-0.011320326678765813,0.276,-0.2864506957047792,-0.28732032667876584,0.0008696309739866909,0.0008696309739866909,0.0031508368622706192,317.37600000000003,5,ALL,primary,B,B_low_slip,False,False
0.25,0.005,82650,1415,20,0.0008696309739866909,0.0016070369952271137,0.5411393618003117,-0.0022801615366584522,0.004019423484631834,0.7916394434361766,0.7909437386569873,-0.01045069570477919,-0.011320326678765813,0.436,-0.4464506957047792,-0.4473203266787658,0.0008696309739866909,0.0008696309739866909,0.001994566454097915,501.3620869565217,5,ALL,primary,B,C_high_slip,False,False
0.25,0.005,82650,1415,20,0.0008696309739866909,0.0016070369952271137,0.5411393618003117,-0.0022801615366584522,0.004019423484631834,0.7916394434361766,0.7909437386569873,-0.01045069570477919,-0.011320326678765813,0.2052,-0.21565069570477918,-0.2165203266787658,0.0008696309739866909,0.0008696309739866909,0.004237967709486798,235.9621565217391,5,ALL,primary,B,D_fee_sens,False,False
0.5,0.005,82635,1412,35,0.004919223089489925,0.0026744565994515353,1.8393355459567886,-0.0003227118454350833,0.010161158024414935,0.6657106552913414,0.6624311732316814,-0.0014340170629878468,-0.006353240152477846,0.316,-0.31743401706298785,-0.32235324015247785,0.004919223089489925,0.004919223089489925,0.01556716167560103,64.23778597785979,5,ALL,primary,B,A_baseline,False,False
0.5,0.005,82635,1412,35,0.004919223089489925,0.0026744565994515353,1.8393355459567886,-0.0003227118454350833,0.010161158024414935,0.6657106552913414,0.6624311732316814,-0.0014340170629878468,-0.006353240152477846,0.276,-0.27743401706298787,-0.28235324015247787,0.004919223089489925,0.004919223089489925,0.017823272063369294,56.10642066420665,5,ALL,primary,B,B_low_slip,False,False
0.5,0.005,82635,1412,35,0.004919223089489925,0.0026744565994515353,1.8393355459567886,-0.0003227118454350833,0.010161158024414935,0.6657106552913414,0.6624311732316814,-0.0014340170629878468,-0.006353240152477846,0.436,-0.43743401706298785,-0.44235324015247784,0.004919223089489925,0.004919223089489925,0.01128262176488515,88.63188191881919,5,ALL,primary,B,C_high_slip,False,False
