k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,signal_real,economics_viable,symbol
0.5,0.02,20876,353,27,-0.005999712588618509,0.00495508133643016,-1.210820202790242,-0.01571167200802162,0.003712246830784603,0.660567158459475,0.6645669668518873,-0.009149262310787498,-0.003149549722168965,0.079,-0.0881492623107875,-0.08214954972216897,-0.005999712588618509,-0.005999712588618509,-0.07594572896985455,,5,ALL,primary,A-symbol,False,False,XRPUSD
0.5,0.03,82486,1412,184,0.00409160342361128,0.0021044435279971535,1.9442685770263226,-3.310589126314127e-05,0.0082163127384857,0.660718182479451,0.6579904468637102,-0.008922726280823468,-0.013014329704434724,0.05266666666666667,-0.061589392947490135,-0.06568099637110139,0.00409160342361128,0.00409160342361128,0.07768867260021417,12.871889382716049,5,ALL,primary,A,False,False,
0.5,0.03,29521,961,55,0.0027184038481081266,0.003365592162498398,0.8077044742373535,-0.0038781567903887343,0.009314964486604987,0.6465228142678093,0.6447105450357373,-0.030215778598285947,-0.03293418244639401,0.05266666666666667,-0.08288244526495261,-0.08560084911306068,0.0027184038481081266,0.0027184038481081266,0.0516152629387619,19.37411422637591,5,LOW,primary,A,False,False,
0.5,0.03,27931,1207,61,0.005934266585514303,0.004040337277400014,1.468755249396666,-0.001984794478189723,0.01385332764921833,0.6676094661845261,0.6636532884608499,0.0014141992767890965,-0.0045200673087251175,0.05266666666666667,-0.05125246738987757,-0.057186733975391785,0.005934266585514303,0.005934266585514303,0.11267594782622095,8.875008547008546,5,NORMAL,primary,A,False,False,
0.5,0.03,25034,1018,68,0.003655029160341935,0.004993505864275808,0.731956517061588,-0.0061322423336386475,0.013442300654322519,0.6697691140049533,0.6673324278980587,0.00465367100742986,0.0009986418470879777,0.05266666666666667,-0.04801299565923681,-0.05166802481957869,0.003655029160341935,0.003655029160341935,0.06939928785459369,14.409369763205829,5,HIGH,primary,A,False,False,
0.5,0.03,20652,353,52,0.003195816385822196,0.003902486936098305,0.8189178947046941,-0.004453058008930482,0.010844690780574876,0.6519465427077281,0.6498159984505133,-0.02208018593840788,-0.025276002324229996,0.05266666666666667,-0.07474685260507455,-0.07794266899089666,0.003195816385822196,0.003195816385822196,0.06068005795864929,16.47987878787879,5,ALL,primary,A-symbol,False,False,BTCUSD
0.5,0.03,20767,353,59,0.007873067848028121,0.004260688899073908,1.8478391721440612,-0.000477882394156737,0.016224018090212976,0.6642268984446478,0.6589781865459623,-0.0036596523330283404,-0.011532720181056555,0.05266666666666667,-0.05632631899969501,-0.06419938684772322,0.007873067848028121,0.007873067848028121,0.1494886300258504,6.689471967380225,5,ALL,primary,A-symbol,False,False,ETHUSD
0.5,0.03,20213,353,24,0.0067159748676594265,0.00458492937547391,1.4647935262831058,-0.0022704867082694374,0.01570243644358829,0.6639291545045268,0.6594518379260872,-0.00410626824320981,-0.010822243110869212,0.05266666666666667,-0.05677293490987648,-0.06348890977753588,0.0067159748676594265,0.0067159748676594265,0.12751851014543214,7.841998772252917,5,ALL,primary,A-symbol,False,False,SOLUSD
0.5,0.03,20854,353,49,-0.0013306799654742496,0.004061672303267714,-0.32761874078410647,-0.009291557679878966,0.006630197748930468,0.662798503884147,0.6636856238611297,-0.005802244173779503,-0.004471564208305412,0.05266666666666667,-0.05846891084044617,-0.05713823087497208,-0.0013306799654742496,-0.0013306799654742496,-0.025266075293814864,,5,ALL,primary,A-symbol,False,False,XRPUSD
0.5,0.05,82356,1411,314,0.0021856331050560977,0.001818308447476834,1.2020144921445972,-0.0013782514519984968,0.005749517662110693,0.6521079217057653,0.6506508329690611,-0.021838117441352112,-0.024023750546408262,0.031599999999999996,-0.05343811744135211,-0.05562375054640826,0.0021856331050560977,0.0021856331050560977,0.06916560459038285,14.458053333333334,5,ALL,primary,A,False,False,
0.5,0.05,29456,959,120,0.0047613389462248775,0.0032369828286468207,1.4709188149185501,-0.0015831473979228902,0.011105825290372646,0.6356599674090169,0.6324857414448669,-0.0465100488864747,-0.05127138783269958,0.031599999999999996,-0.07811004888647469,-0.08287138783269957,0.0047613389462248775,0.0047613389462248775,0.1506752831083822,6.636788591800356,5,LOW,primary,A,False,False,
0.5,0.05,27905,1204,87,-0.0005375380756136893,0.004031451116860895,-0.133336126380281,-0.008439182264661045,0.007364106113433665,0.6536104640745386,0.6539688227916144,-0.0195843038881921,-0.01904676581257836,0.031599999999999996,-0.0511843038881921,-0.050646765812578355,-0.0005375380756136893,-0.0005375380756136893,-0.017010698595369918,,5,NORMAL,primary,A,False,False,
0.5,0.05,24995,1016,107,0.0021904380876175238,0.004370495697485013,0.5011875629755234,-0.006375733479453102,0.010756609654688148,0.6698139627925586,0.6683536707341469,0.004720944188837839,0.002530506101220187,0.031599999999999996,-0.026879055811162157,-0.02906949389877981,0.0021904380876175238,0.0021904380876175238,0.06931766100055456,14.426337899543375,5,HIGH,primary,A,False,False,
0.5,0.05,20539,352,165,-0.0017892789327620625,0.0036168263385670716,-0.49470966125261795,-0.008878258556353522,0.005299700690829398,0.6367885486148304,0.6379814012366717,-0.044817177077754455,-0.04302789814499253,0.031599999999999996,-0.07641717707775444,-0.07462789814499252,-0.0017892789327620625,-0.0017892789327620625,-0.05662275103677414,,5,ALL,primary,A-symbol,False,False,BTCUSD
0.5,0.05,20766,353,60,0.006537127997688529,0.003636160220977769,1.797810767516368,-0.0005897460354278984,0.013664002030804957,0.6724934989887316,0.6681354136569392,0.008740248483097401,0.002203120485408716,0.031599999999999996,-0.022859751516902595,-0.02939687951459128,0.006537127997688529,0.006537127997688529,0.20687113916735855,4.8339270718232035,5,ALL,primary,A-symbol,False,False,ETHUSD
0.5,0.05,20205,353,32,0.0016703786191536747,0.003823799177284199,0.4368374335861535,-0.005824267768323355,0.009165025006630705,0.6580054441969809,0.6568918584508785,-0.01299183370452861,-0.014662212323682255,0.031599999999999996,-0.044591833704528606,-0.04626221232368225,0.0016703786191536747,0.0016703786191536747,0.052860082884609964,18.917866666666665,5,ALL,primary,A-symbol,False,False,SOLUSD
0.5,0.05,20846,353,57,0.0022666218938885156,0.003461066926089545,0.654891090606398,-0.004517069281246993,0.009050313069024023,0.6411781636764847,0.6396670824138924,-0.03823275448527297,-0.040499376379161456,0.031599999999999996,-0.06983275448527296,-0.07209937637916145,0.0022666218938885156,0.0022666218938885156,0.07172854094583911,13.94145185185185,5,ALL,primary,A-symbol,False,False,XRPUSD
0.5,0.075,81752,1402,918,0.0021559105587630883,0.0016947865475299244,1.272083827845596,-0.0011658710743955632,0.00547769219192174,0.6625159017516391,0.6610786280457971,-0.006226147372541346,-0.00838205793130431,0.021066666666666668,-0.027292814039208014,-0.029448724597970977,0.0021559105587630883,0.0021559105587630883,0.10233752652356432,9.77158657210402,5,ALL,diagnostic,A,False,False,
0.5,0.075,29149,950,427,0.007358743010051802,0.0030284364338718705,2.429881944275652,0.001423007599662936,0.01329447842044067,0.668050361933514,0.6631445332601461,0.00207554290027101,-0.0052832001097808945,0.021066666666666668,-0.018991123766395657,-0.026349866776447562,0.007358743010051802,0.007358743010051802,0.34930742136321846,2.8628077700077705,5,LOW,diagnostic,A,True,False,
0.5,0.075,27732,1197,260,-0.0022446992643877107,0.0038984628596277996,-0.5757908553224028,-0.009885686469258198,0.005396287940482775,0.6518823020337516,0.6533787682100101,-0.022176546949372544,-0.019931847684984905,0.021066666666666668,-0.04324321361603921,-0.04099851435165157,-0.0022446992643877107,-0.0022446992643877107,-0.10655218027156854,,5,NORMAL,diagnostic,A,False,False,
0.5,0.075,24871,1010,231,0.0009649792931526679,0.004263973985906493,0.22630984530913353,-0.007392409719224056,0.009322368305529393,0.6678862932732902,0.6672429737445217,0.0018294399099352265,0.0008644606167824698,0.021066666666666668,-0.01923722675673144,-0.020202206049884198,0.0009649792931526679,0.0009649792931526679,0.04580597910534816,21.83121111111111,5,HIGH,diagnostic,A,False,False,
0.5,0.075,20223,346,481,0.000927162142115413,0.003094325063190979,0.2996330777088074,-0.005137714981738905,0.006992039265969733,0.6866933689363596,0.686075260841616,0.030040053404539302,0.02911289126242389,0.021066666666666668,0.008973386737872634,0.008046224595757222,0.000927162142115413,0.000927162142115413,0.04401086117636454,22.721664000000004,5,ALL,diagnostic,A-symbol,False,False,BTCUSD
0.5,0.075,20542,351,284,0.00609726414175835,0.0035423726954605167,1.72123733608603,-0.0008457863413442639,0.013040314624860962,0.6610359263947035,0.6569710836335313,-0.00844611040794474,-0.014543374549703003,0.021066666666666668,-0.029512777074611408,-0.03561004121636967,0.00609726414175835,0.00609726414175835,0.2894270953366305,3.4551015302727874,5,ALL,diagnostic,A-symbol,False,False,ETHUSD
0.5,0.075,20186,353,51,0.001746259784008719,0.0034041743135927046,0.51297601801294,-0.004925921870632982,0.00841844143865042,0.6609035965520658,0.6597394233627266,-0.008644605171901354,-0.010390864955910128,0.021066666666666668,-0.02971127183856802,-0.03145753162257679,0.001746259784008719,0.001746259784008719,0.08289207835484426,12.063878959810873,5,ALL,diagnostic,A-symbol,False,False,SOLUSD
0.5,0.075,20801,352,102,-0.0001442238353925292,0.003478373869426928,-0.04146300564760467,-0.006961836619469308,0.00667338894868425,0.6420364405557425,0.6421325897793375,-0.036945339166386315,-0.03680111533099373,0.021066666666666668,-0.05801200583305298,-0.05786778199766039,-0.0001442238353925292,-0.0001442238353925292,-0.0068460681357213225,,5,ALL,diagnostic,A-symbol,False,False,XRPUSD
0.5,0.1,80513,1386,2157,0.001835107373964453,0.001674176630743313,1.096125307369563,-0.0014462788222924404,0.0051164935702213464,0.6637064821830015,0.6624830772670252,-0.004440276725497627,-0.006275384099462267,0.015799999999999998,-0.020240276725497625,-0.022075384099462265,0.001835107373964453,0.001835107373964453,0.11614603632686413,8.609850423011842,5,ALL,diagnostic,A,False,False,
0.5,0.1,28503,932,1073,0.006130933585938323,0.0029615832639494416,2.0701540492102763,0.00032623038859741775,0.011935636783279227,0.6778233870118935,0.6737360979546013,0.016735080517840117,0.010604146931902036,0.015799999999999998,0.0009350805178401193,-0.005195853068097962,0.006130933585938323,0.006130933585938323,0.38803377126191924,2.5770952789699564,5,LOW,diagnostic,A,True,True,
0.5,0.1,27302,1183,690,0.0032140502527287377,0.003892170963924208,0.8257731437080122,-0.0044146048365627105,0.010842705342020186,0.652443044465607,0.6503003442971211,-0.0213354333015896,-0.024549483554318297,0.015799999999999998,-0.037135433301589596,-0.04034948355431829,0.0032140502527287377,0.0032140502527287377,0.20342090207143912,4.91591566951567,5,NORMAL,diagnostic,A,False,False,
0.5,0.1,24708,997,394,-0.004644244779018941,0.004229084381781937,-1.0981679152644561,-0.012933250167311536,0.0036447606092736553,0.6598672494738547,0.6629634126598672,-0.010199125789218,-0.005554881010199075,0.015799999999999998,-0.025999125789217998,-0.021354881010199073,-0.004644244779018941,-0.004644244779018941,-0.2939395429758824,,5,HIGH,diagnostic,A,False,False,
0.5,0.1,19285,336,1419,-0.0013611615245009074,0.0031513164956139894,-0.4319342491924806,-0.007537741855904327,0.004815418806902512,0.7024112004148302,0.7033186414311641,0.053616800622245275,0.05497796214674611,0.015799999999999998,0.03781680062224528,0.03917796214674611,-0.0013611615245009074,-0.0013611615245009074,-0.08614946357600681,,5,ALL,diagnostic,A-symbol,False,False,BTCUSD
0.5,0.1,20515,349,311,0.004825737265415549,0.0034357860551476643,1.4045511530572143,-0.001908403402673873,0.011559877933504971,0.6622471362417743,0.6590299780648307,-0.006629295637338495,-0.01145503290275407,0.015799999999999998,-0.022429295637338493,-0.027255032902754068,0.004825737265415549,0.004825737265415549,0.30542640920351577,3.274111111111111,5,ALL,diagnostic,A-symbol,False,False,ETHUSD
0.5,0.1,20059,351,178,-0.0017573159180417767,0.0034895117180132676,-0.5035993743681405,-0.00859675888534778,0.005082127049264228,0.6533226980407797,0.6544942419861409,-0.020015952938830406,-0.01825863702078867,0.015799999999999998,-0.0358159529388304,-0.034058637020788665,-0.0017573159180417767,-0.0017573159180417767,-0.11122252645834031,,5,ALL,diagnostic,A-symbol,False,False,SOLUSD
0.5,0.1,20654,350,249,0.0053379490655563085,0.003270498284013901,1.6321516178889455,-0.001072227571110937,0.011748125702223555,0.6391013847196669,0.635542752009296,-0.0413479229204996,-0.046685871986056005,0.015799999999999998,-0.0571479229204996,-0.062485871986056,0.0053379490655563085,0.0053379490655563085,0.337844877566855,2.9599383219954647,5,ALL,diagnostic,A-symbol,False,False,XRPUSD
