k,stop_width,n,clusters,unresolved,excess_gross_R,se_gross_R,t,ci_low_R,ci_high_R,p_signal,p_control,signal_gross_R,control_gross_R,cost_R,signal_net_R,control_net_R,excess_net_R,break_even_cost_R,edge_to_cost,required_multiple,exec_tf,regime,band,stage,signal_real,economics_viable,symbol,net_low_slip,net_high_slip,gate
0.5,0.0025,27187,1412,1,-0.0033655791370875788,0.0039892790629087625,-0.8436559799438006,-0.011184566100388753,0.004453407826213595,0.6567477103027182,0.6589914297274433,-0.014878434545922747,-0.011512855408835065,0.632,-0.6468784345459228,-0.6435128554088351,-0.0033655791370875788,-0.0033655791370875788,-0.005325283444758827,,15,ALL,primary,A,False,False,,-0.5668784345459228,-0.8868784345459227,RED
0.5,0.005,27181,1410,7,0.0065119016960376724,0.004515542095037421,1.4421085129943205,-0.0023385608102356706,0.015362364202311015,0.6712777307678157,0.6669364629704573,0.006916596151723464,0.00040469445568591667,0.316,-0.30908340384827654,-0.3155953055443141,0.0065119016960376724,0.0065119016960376724,0.02060728384822048,48.526531073446336,15,ALL,primary,A,False,False,,-0.26908340384827656,-0.42908340384827653,RED
0.5,0.0075,27178,1410,10,0.010017293399072778,0.0049710080230347085,2.015143277310063,0.0002741176739247519,0.019760469124220807,0.6703215836338214,0.6636433880344397,0.005482375450732047,-0.004534917948340489,0.21066666666666667,-0.20518429121593462,-0.21520158461500716,0.010017293399072778,0.010017293399072778,0.04755044335002901,21.03029813284359,15,ALL,primary,A,True,False,,-0.17851762454926798,-0.28518429121593464,RED
0.5,0.01,27174,1410,14,0.011095164495473615,0.004946250677231746,2.2431464192759463,0.0014005131680993937,0.020789815822847835,0.6739530433502613,0.6665562670199455,0.010929565025391996,-0.00016559947008176756,0.158,-0.147070434974608,-0.15816559947008177,0.011095164495473615,0.011095164495473615,0.07022256009793428,14.240437810945274,15,ALL,primary,A,True,False,,-0.12707043497460802,-0.207070434974608,RED
0.5,0.015,27170,1410,18,0.01090357011409643,0.005079984645723849,2.146378557123134,0.0009468002084776885,0.020860340019715172,0.6675009201324991,0.6602318733897681,0.0012513801987485973,-0.009652189915347886,0.10533333333333333,-0.10408195313458474,-0.11498552324868122,0.01090357011409643,0.01090357011409643,0.10351490614648509,9.660444444444444,15,ALL,primary,A,True,False,,-0.09074861980125142,-0.14408195313458474,RED
0.5,0.02,27166,1410,22,0.007012442023117132,0.004888929510522825,1.4343512231100295,-0.0025698598175076044,0.016594743863741865,0.6638445115217552,0.6591695501730104,-0.004233232717367308,-0.011245674740484435,0.079,-0.08323323271736731,-0.09024567474048444,0.007012442023117132,0.007012442023117132,0.08876508890021687,11.26569028871391,15,ALL,primary,A,False,False,,-0.07323323271736731,-0.11323323271736731,RED
0.5,0.03,27152,1410,36,0.010082130229817325,0.004447042908844836,2.267153800059973,0.0013659261284814463,0.018798334331153202,0.6633028874484385,0.6565814672952268,-0.0050456688273423644,-0.015127799057159774,0.05266666666666667,-0.05771233549400903,-0.06779446572382644,0.010082130229817325,0.010082130229817325,0.19143285246488592,5.223763774733638,15,ALL,primary,A,True,False,,-0.05104566882734237,-0.07771233549400904,RED
0.5,0.05,27116,1408,72,0.006250921964891578,0.004081714381077522,1.531445216713427,-0.0017492382220203658,0.01425108215180352,0.6502065201357132,0.6460392388257855,-0.024690219796430157,-0.030941141761321678,0.031599999999999996,-0.05629021979643015,-0.06254114176132167,0.006250921964891578,0.006250921964891578,0.19781398623074614,5.055254277286134,15,ALL,primary,A,False,False,,-0.05229021979643016,-0.06829021979643016,RED
0.5,0.075,26954,1399,234,0.006427617422274988,0.0038496701814858736,1.6696540532711541,-0.0011177361334373244,0.013972970977987298,0.6658751947762855,0.6615901164947688,-0.0011872078355716909,-0.007614825257846736,0.021066666666666668,-0.02225387450223836,-0.028681491924513403,0.006427617422274988,0.006427617422274988,0.30510842194343296,3.2775234247234244,15,ALL,diagnostic,A,False,False,,-0.019587207835571694,-0.03025387450223836,RED
0.5,0.1,26536,1382,652,0.0031655110039192046,0.003929678574741277,0.805539421026977,-0.004536659002573698,0.010867681010412106,0.6653225806451613,0.6632122399758819,-0.0020161290322581182,-0.005181640036177271,0.015799999999999998,-0.017816129032258116,-0.02098164003617727,0.0031655110039192046,0.0031655110039192046,0.20034879771640537,4.991295238095237,15,ALL,diagnostic,A,False,False,,-0.015816129032258118,-0.023816129032258118,RED
