split,train_end,test_end,cell,block_trades,block_net_r,block_gross_r,symbols_positive
2,2026-05-16,2026-06-29,manual_scalp@5m,190,-0.030137501295071888,-0.00042343591392579474,0/1
2,2026-05-16,2026-06-29,manual_scalp_both@5m,187,-0.045654016247523466,-0.015527672534710123,0/1
2,2026-05-16,2026-06-29,manual_scalp_banded@5m,145,-0.11219591653257785,-0.08186793745211635,0/1
2,2026-05-16,2026-06-29,manual_scalp_st@5m,190,0.025318923097756907,0.05453241698035554,1/1
2,2026-05-16,2026-06-29,manual_scalp_st_banded@5m,128,-0.10113150435642658,-0.06847952463011896,0/1
2,2026-05-16,2026-06-29,manual_flip@5m,58,-0.15795925480725043,-0.12908824756950854,0/1
2,2026-05-16,2026-06-29,manual_v2@5m,53,-0.43040365739288977,-0.3964456499841809,0/1
2,2026-05-16,2026-06-29,manual_stb_t15@5m,110,0.00012334404681366504,0.031549096358869454,1/1
2,2026-05-16,2026-06-29,manual_stb_t20@5m,88,-0.14286006369586915,-0.11464529448046346,0/1
2,2026-05-16,2026-06-29,atr_banded_adx@5m,60,-0.04988977613695626,0.013090904704119359,0/1
3,2026-06-29,2026-08-12,hwpr_v2@5m,81,0.09324751033682785,0.14671584713388297,2/3
3,2026-06-29,2026-08-12,atr_arm@5m,499,-0.04075075613902224,0.03341279388287189,1/3
3,2026-06-29,2026-08-12,flip@5m,145,0.10608177846845973,0.2112250707070948,3/3
3,2026-06-29,2026-08-12,trend_pure@5m,117,-0.0756847075118303,-0.018250660541060868,1/3
3,2026-06-29,2026-08-12,st_only@5m,345,-0.001861940995108718,0.06427123153398566,1/3
3,2026-06-29,2026-08-12,adx_only@5m,229,0.07504407346778982,0.14362321151633184,3/3
3,2026-06-29,2026-08-12,wpr_only@5m,543,-0.06405778098583852,0.009350006019092204,1/3
3,2026-06-29,2026-08-12,hwpr_no_confirm@5m,150,-0.03187110313193107,0.02415701541802483,1/3
3,2026-06-29,2026-08-12,st_flip_atr@5m,345,-0.11198287665943231,-0.03595918440634735,0/3
3,2026-06-29,2026-08-12,flip_wide@5m,91,-0.02302551090137574,0.01783218435084393,1/3
3,2026-06-29,2026-08-12,trend_wide_stop@5m,179,-0.08337451415265948,-0.045505486044730335,0/3
3,2026-06-29,2026-08-12,counter_trend@5m,165,0.05332548902624408,0.12799196556306722,2/3
3,2026-06-29,2026-08-12,atr_pullback@5m,93,0.09380440190064669,0.16922245450009452,2/3
3,2026-06-29,2026-08-12,atr_banded@5m,253,-0.0017755025929838866,0.0750234509730723,2/3
3,2026-06-29,2026-08-12,atr_adx@5m,276,0.0035844771933726937,0.07519422182505056,1/3
3,2026-06-29,2026-08-12,atr_adx_both@5m,187,0.03810231899717879,0.1076708304321714,2/3
3,2026-06-29,2026-08-12,atr_t3@5m,387,0.1097547624863285,0.18350333399313407,2/3
3,2026-06-29,2026-08-12,atr_t4@5m,336,0.03889349635406085,0.11232607429371219,2/3
3,2026-06-29,2026-08-12,manual_scalp@5m,346,-0.054058024200010386,-0.015133702270842831,1/3
3,2026-06-29,2026-08-12,manual_scalp_both@5m,336,-0.07996881875719433,-0.042066513780812706,0/3
3,2026-06-29,2026-08-12,manual_scalp_banded@5m,302,-0.04342524378702702,-0.004422010094955857,0/3
3,2026-06-29,2026-08-12,manual_scalp_st@5m,345,-0.014453925637798471,0.024348648578239797,2/3
3,2026-06-29,2026-08-12,manual_scalp_st_banded@5m,256,-0.003906505081935591,0.037010370978508254,1/3
3,2026-06-29,2026-08-12,manual_flip@5m,108,-0.11064827362418142,-0.06952424968099405,1/3
3,2026-06-29,2026-08-12,manual_v2@5m,95,-0.16596502004446131,-0.12495347362824089,1/3
3,2026-06-29,2026-08-12,manual_stb_t15@5m,201,0.08782880568416176,0.126690094601898,3/3
3,2026-06-29,2026-08-12,manual_stb_t20@5m,172,0.11043651251737158,0.14909351260645196,2/3
3,2026-06-29,2026-08-12,atr_banded_adx@5m,94,0.048162667953632915,0.11981567531865919,2/3
