symbol,family,timeframe_min,confirm_min,spec_hash,bars,signals,status,trades,trades_per_day,days,rej_cost,rej_cooldown,initial_capital,total_pnl,final_equity,return_pct,max_dd_pct,total_fees,total_funding,optimistic_pnl,gross_win,gross_loss,avg_win,avg_loss,best_trade,worst_trade,profit_factor,win_rate,net_r,net_r_lo,net_r_hi,gross_r,cost_r,bars_held,median_r_bps,avg_leverage,ambiguous_pct,model,target_r,stop_mult,rt_bps
BTCUSD,atr_arm,5,1,ae190a209e26,169474,25212,ok,3026,5.142310914948605,588.4513888888889,12120,4487,10000.0,-7474.543408324928,2525.456591675075,-74.74543408324928,75.40395196683647,8799.85700743,-21.94209910507095,-7420.916345961999,38341.1521010116,-45815.695509336525,24.96168756576276,-30.748788932440622,47.371942348000005,-57.482574459999995,0.8368562710828709,0.5076007931262393,-0.08912700189676845,-0.1245527010691832,-0.05546376611266433,0.01601940539509796,0.10514640729186638,14.234633179114342,43.377565625585035,1.105486988159166,0.033046926635822864,maker/maker (floor),1.0,2.0,4.72
BTCUSD,atr_arm,5,1,fba2f87a03ea,169474,25207,ok,2183,3.7097371868251177,588.4513888888889,1062,3025,10000.0,-5931.1235724230755,4068.8764275769504,-59.31123572423076,60.92430781743347,5316.810458028,-37.259885604924705,-5924.903199107959,33541.339775278895,-39472.46334770197,31.23029774234534,-35.59284341542107,47.845601438922905,-57.508453374,0.8497402221853384,0.49198350893266146,-0.08036588194306442,-0.11936859285744147,-0.03860591566621878,-0.00891597153373931,0.07144991040932511,58.60696289509849,71.61909253009918,0.7505466264982641,0.04580852038479157,maker/maker (floor),1.0,4.0,4.72
BTCUSD,atr_arm,5,1,5104b68fd7d7,169474,25212,ok,2248,3.8201966083293013,588.4513888888889,9946,3320,10000.0,-5159.045875428955,4840.954124571034,-51.59045875428955,61.41879162666341,9314.161115686,-59.63874025704434,-5140.546179366011,58665.775148740766,-63824.82102416972,74.4489532344426,-43.715630838472414,117.8571478524978,-70.35520707600001,0.919168658953618,0.3505338078291815,-0.0598512902846744,-0.11881087962518516,-0.0010832718765800397,0.04443202421600855,0.10428331450068293,30.816725978647685,43.98234196589017,1.0993643473545571,0.04448398576512455,maker/maker (floor),2.0,2.0,4.72
BTCUSD,atr_arm,5,1,1245719458bf,169474,25207,ok,1424,2.419911018799344,588.4513888888889,902,1960,10000.0,-452.58658303925574,9547.413416960755,-4.525865830392557,20.680327282624795,5340.312224798,-0.6561417587446634,-453.2427247979649,47777.32951260338,-48229.916095642635,88.8054451907126,-54.435571214043605,116.1840620249484,-72.5180773763084,0.9906160611571093,0.37780898876404495,-0.0016156858790786553,-0.07268827792439728,0.06818214834718543,0.06978215138284538,0.07139783726192403,98.97050561797752,72.96512228990632,0.7519553854410372,0.0,maker/maker (floor),2.0,4.0,4.72
BTCUSD,wpr_only,5,1,5536e003be2a,169474,73998,ok,3597,6.112654448469971,588.4513888888889,33024,14911,10000.0,-9102.257569432053,897.7424305680095,-91.02257569432052,91.82876749616682,7533.63546648,13.060102952052603,-8930.027339571945,31575.88380773326,-40678.1413771653,18.074346770310967,-21.98818452819746,47.120982696752996,-57.71163168,0.7762371322466173,0.485682513205449,-0.1339322862395897,-0.165525375558279,-0.103960923246643,-0.02815472524902254,0.10577756099056719,15.153739227133723,43.02534127552016,1.1038157384310612,0.11120378092855157,maker/maker (floor),1.0,2.0,4.72
BTCUSD,wpr_only,5,1,d4527a09260f,169474,73970,ok,2172,3.6910440539551788,588.4513888888889,2523,8595,10000.0,-6697.860966810874,3301.1566135691473,-66.97860966810873,70.77042144846818,4406.25528877,34.8601780408743,-6663.983208389993,27873.502347020407,-34571.36331383128,26.64770778873844,-30.702809337327956,48.231989102,-58.4393440013928,0.8062598542611943,0.48158379373848986,-0.10099161116427148,-0.14063864818338395,-0.05885314294818015,-0.03221716848800859,0.0687744426762629,64.06813996316758,76.51357775344661,0.7205844056073986,0.0,maker/maker (floor),1.0,4.0,4.72
BTCUSD,wpr_only,5,1,461613bee59c,169474,73998,ok,2471,4.199157392874423,588.4513888888889,25509,10210,10000.0,-7071.423733310172,2928.5762666898677,-70.71423733310172,73.24754679813378,7313.877796786,51.5434365241726,-6746.071833655947,44230.25705247899,-51301.68078578917,52.780736339473734,-31.415603665516944,98.69926349343201,-58.301430644,0.86215999895136,0.339133953864832,-0.09524121506895653,-0.14955268627948665,-0.04007410567731753,0.008834297305935948,0.10407551237489246,33.85795224605423,43.709591944886064,1.0946426668369351,0.12140833670578711,maker/maker (floor),2.0,2.0,4.72
BTCUSD,wpr_only,5,1,247ec2c731ff,169474,73970,ok,1431,2.4318066488074868,588.4513888888889,2133,5754,10000.0,-6222.0676652377915,3776.8286918542253,-62.22067665237792,63.468837290237886,3012.322363514,36.79980172379145,-6186.371506421987,23789.34020837392,-30011.407873611715,49.05018599664726,-31.72453263595319,97.84980269692291,-57.30554576400001,0.7926765818037912,0.3389238294898672,-0.13311988254394388,-0.2047827228012107,-0.06942012521929772,-0.06476059622039392,0.06835928632354994,103.764500349406,77.57061569798533,0.7170571513147989,0.0,maker/maker (floor),2.0,4.0,4.72
BTCUSD,adx_only,5,1,8822505d8858,169474,6539,ok,1724,2.929723733434037,588.4513888888889,2855,1228,10000.0,-5488.003094810305,4511.996905189668,-54.880030948103055,55.10411523294564,5926.191612287999,32.654482522305194,-5455.3486122880295,26498.70610743065,-31986.709202240956,30.388424435126893,-37.54308591812319,46.07515702399999,-56.934514826000004,0.8284286432808218,0.505800464037123,-0.09052864500976286,-0.13981379480937006,-0.04497103494558435,0.011152782761370272,0.10168142777113312,15.089327146171694,45.27589501464662,1.0710442462068859,0.0,maker/maker (floor),1.0,2.0,4.72
BTCUSD,adx_only,5,1,88d2c6a947a0,169474,6536,ok,1637,2.781878046189976,588.4513888888889,370,1133,10000.0,-4085.657654659621,5912.49725320836,-40.856576546596216,41.41326741424643,4440.925794244,-26.04713958437865,-4113.549886376009,29356.272136070205,-33441.929790729824,35.71322644290779,-41.03304268801205,48.205873309888005,-57.140873484000004,0.8778282927980977,0.5021380574221136,-0.06181308009983654,-0.10809649610948262,-0.012212742442141026,0.007542712435446974,0.06935579253528351,59.97739767868051,73.63647275554882,0.7294134286010817,0.0,maker/maker (floor),1.0,4.0,4.72
