factor,universe,days,gross_ann,cost_ann,ann_return,ann_vol,sharpe,gross_t,t_stat,p_value,bh_threshold,survives_bh
momentum_30d,liquid_half,573,14.595427538210142,7.781911434980066,6.81351610323008,26.870175714491726,0.253571698809375,0.6801537232359723,0.31760181739171484,0.7507869953912822,0.0328125,False
carry,tradeable_1m,574,-7.18144396719677,4.386381607765058,-11.567825574961816,47.02093382606824,-0.24601437346505128,-0.1914176605676039,-0.3084049326200086,0.7577742290918055,0.034375,False
reversal_7d,tradeable_1m,574,26.724022252245316,15.912832592019626,10.811189660225685,45.50658981098854,0.23757415585588645,0.7360588571832345,0.2978242307431629,0.7658373198412658,0.035937500000000004,False
reversal_1d,liquid_half,574,32.36430434673198,38.969243619906244,-6.604939273174267,27.993896507032513,-0.235942119437178,1.4496788937329421,-0.2957783011714231,0.7673993951091077,0.037500000000000006,False
size_small,tradeable_1m,574,-2.435298022768877,4.095893324028615,-6.531191346797484,34.856634554580026,-0.18737297591282548,-0.08758442890475224,-0.23489176342541876,0.8142927425789586,0.0390625,False
reversal_1d,tradeable_1m,574,46.45189974548364,38.258828294455256,8.193071451028377,43.84075055920653,0.1868825543933995,1.3284925738526674,0.23427696838916268,0.8147699649925015,0.040625,False
momentum_90d,tradeable_1m,513,-1.612237438970994,5.596003737352642,-7.208241176323642,44.41950511706486,-0.16227648546121276,-0.04301812253984611,-0.19231765885967095,0.8474933868108018,0.0421875,False
momentum_30d,tradeable_1m,573,2.4726291735636314,8.100801260926392,-5.628172087362768,44.74632445704078,-0.12577953956343738,0.06921988497924349,-0.1575404926638598,0.8748188977754161,0.043750000000000004,False
low_volatility,all,573,4.131396130151259,2.5520033214340074,1.5793928087172517,24.4176165956797,0.0646825132390972,0.21185668317616801,0.08101568059314276,0.9354294821869474,0.045312500000000006,False
reversal_1d,all,602,38.37407594376668,39.327837073797,-0.9537611300303233,20.667464146378993,-0.046147951353646126,2.386141506984036,-0.05924552597926308,0.9527565488134873,0.046875,False
low_volatility,liquid_half,573,4.3941675320481455,3.3405733972161937,1.0535941348319469,33.38630424025505,0.031557674885188125,0.16476927624181575,0.039526394085987265,0.9684707105180428,0.0484375,False
size_small,liquid_half,574,3.173528526849155,3.296226526118714,-0.12269799926956214,22.519803877575583,-0.005448448838035414,0.1765528820265218,-0.006830204565330339,0.9945503276029725,0.05,False
