strategy,universe,rebalance_d,days,gross_ann,cost_ann,ann_return,ann_vol,sharpe,gross_t,t_stat,p_value,bh_threshold,survives_bh
reversal_7d,all,30,574,-7.732830696789406,1.3454142604266137,-9.078244957216016,17.75458838308842,-0.5113182441257389,-0.5446011751362202,-0.6409912819560579,0.5215283471622896,0.02125,False
tsmom_30d,all,7,569,26.743979691769628,2.0881331285958744,24.655846563173753,53.71722522604222,0.4589933016722641,0.6215216626664519,0.5728848910964642,0.5667226352635123,0.021875,False
reversal_1d,tradeable_1m,30,574,18.795535996309702,1.6583618011090244,17.137174195200668,39.55853038792069,0.4332105876317779,0.5953549599618039,0.5430751065763748,0.5870780913632778,0.0225,False
reversal_7d,tradeable_1m,30,574,-12.879827208424357,1.5673433599465285,-14.447170568370886,36.15209919997484,-0.39962189991946406,-0.44619825525980106,-0.5009681482519165,0.6163935396678332,0.023125,False
reversal_7d,all,90,514,7.500548742500562,0.47539581303119105,7.025152929469371,17.598218586491384,0.39919682182274774,0.5055541358841104,0.4735583756486539,0.6358148638462525,0.02375,False
reversal_1d,all,7,597,12.819291939233727,5.612557218546852,7.206734720686879,20.43862124120167,0.3526037610677482,0.8017719316447186,0.45079489958383795,0.6521373776711389,0.024375,False
reversal_7d,tradeable_1m,7,569,-8.218906855046766,5.976329080077069,-14.195235935123831,40.91093443237845,-0.3469790199631615,-0.2512668462794777,-0.4330761197170765,0.6649594708162665,0.025,False
size_small,all,1,574,-3.935569296681107,1.601015309891734,-5.536584606572849,16.466298941077874,-0.33623734309602105,-0.2992053940616826,-0.4215089292601446,0.6733834922670888,0.025625000000000002,False
reversal_7d,all,1,596,21.461163334788193,14.711029120985957,6.7501342138022355,20.817026568696242,0.3242602487692839,1.317771807634321,0.41421109638778153,0.6787195160082717,0.026250000000000002,False
low_volatility,all,7,569,-6.069953408679104,1.3837483259198435,-7.453701734598947,22.645163640392354,-0.3291520367423497,-0.33438403196487315,-0.4108256657260823,0.6812003720245852,0.026875,False
momentum_90d,all,30,484,6.555706910147623,0.8395497413252091,5.716157168822414,16.655659984690065,0.3431960771339427,0.4534444680966669,0.39506620771707296,0.692794026944898,0.027500000000000004,False
momentum_30d,all,1,573,1.1337181357197545,7.119840744199275,-5.986122608479521,19.11710323958133,-0.31312916677069835,0.07425734150700622,-0.3921983127915626,0.6949116906705445,0.028125,False
reversal_7d,tradeable_1m,90,514,-10.679682085322622,0.5642015679481025,-11.24388365327073,35.29674368468839,-0.3185530017645308,-0.3590630495880695,-0.377892392491532,0.7055105340601143,0.028750000000000005,False
momentum_30d,tradeable_1m,30,544,-10.048432966821764,1.5364217532467532,-11.584854720068513,38.728504306780614,-0.2991299283933418,-0.3168814768954989,-0.3650599622541267,0.7150666468911981,0.029375000000000002,False
low_volatility,tradeable_1m,30,544,-11.48635317417736,1.0441297545935986,-12.530482928770956,42.69459056451112,-0.2934911135835233,-0.3283498166965927,-0.35817831877335965,0.7202098714674177,0.030000000000000006,False
low_volatility,tradeable_1m,90,514,-9.207279763655993,0.3614316618449644,-9.56871142550095,34.20918259800871,-0.27971178200726543,-0.31932648119718926,-0.33181591108950786,0.7400282690314429,0.030625000000000003,False
reversal_1d,tradeable_1m,90,514,9.884196355877252,0.5280219487467787,9.356174407130469,35.00879297588042,0.2672521275891025,0.334904562358838,0.31703529815660053,0.7512168186663407,0.03125,False
momentum_90d,tradeable_1m,30,484,10.978341770956625,1.14564486053719,9.832696910419434,36.493471116430825,0.2694371516222352,0.34651709317544366,0.310159470931082,0.7564396892523515,0.031875,False
carry,tradeable_1m,1,574,-7.18144396719677,4.386381607765058,-11.567825574961816,47.02093382606824,-0.24601437346505128,-0.1914176605676039,-0.3084049326200086,0.7577742290918055,0.0325,False
reversal_7d,tradeable_1m,1,574,26.724022252245316,15.912832592019626,10.811189660225685,45.50658981098854,0.23757415585588645,0.7360588571832345,0.2978242307431629,0.7658373198412658,0.033125,False
momentum_30d,all,90,514,-3.1545070813091924,0.4279115741514513,-3.582418655460644,14.548818579956462,-0.24623433413322304,-0.2572448994404762,-0.29210235384296923,0.7702083670267854,0.03375,False
carry,tradeable_1m,90,514,-10.347603391410209,0.41261169747081716,-10.760215088881024,44.21936255395392,-0.24333718234296184,-0.27768218769821124,-0.2886655266419429,0.7728373458767583,0.034375,False
tsmom_30d,tradeable_1m,7,569,12.293721247924912,2.378729118961887,9.91499212896303,44.62780407126734,0.22217073717383698,0.34390972760560695,0.27729872768717556,0.7815507364315483,0.035,False
reversal_7d,all,7,590,1.4308824611165547,5.553564370884032,-4.1226819097674765,19.838007392468775,-0.20781733912109515,0.09162516676931141,-0.2641269238336988,0.7916821181168794,0.035625000000000004,False
tsmom_60d,tradeable_1m,7,541,11.118898725397667,1.8181431504801528,9.300755574917517,43.90591319296036,0.2118337804304854,0.30822524850801686,0.2578093934157639,0.7965540145999996,0.036250000000000004,False
tsmom_250d,tradeable_1m,30,334,-9.54488502163901,0.7156417933250292,-10.260526814964038,38.15699071697565,-0.2689029355346734,-0.2392527234505825,-0.2571423830710807,0.7970688603126019,0.036875000000000005,False
tsmom_120d,all,7,478,11.229855824090786,1.3236123207212147,9.90624350336957,45.09031376359438,0.21969781703687777,0.28492578129195606,0.2513301426323818,0.801558872455949,0.0375,False
