symbol,stop_mult,target_r,hold_h,trades,gross_r,cost_r,net_r,hit,timeout
ETHUSD,3.0,1.5,48,786,0.07075181974755525,0.09837147500507944,-0.027619655257524214,40.839694656488554,3.435114503816794
ETHUSD,3.0,1.5,168,764,0.06465192514764603,0.09805072974154723,-0.0333988045939012,42.01570680628272,0.0
ETHUSD,3.0,2.0,48,677,0.02734794985557583,0.09783047821523742,-0.0704825283596616,30.576070901033976,7.533234859675036
ETHUSD,3.0,2.0,168,632,-0.0017528154546357611,0.09719163482399434,-0.09894445027863008,32.91139240506329,0.15822784810126583
ETHUSD,3.0,2.5,48,611,0.08555966718745514,0.09783802658547495,-0.01227835939801983,26.5139116202946,9.819967266775777
ETHUSD,3.0,2.5,168,555,0.03727650812007788,0.09666290516390859,-0.05938639704383073,29.36936936936937,0.36036036036036034
ETHUSD,3.0,3.0,48,578,0.10434450672438084,0.09872655330500263,0.005617953419378192,21.79930795847751,12.629757785467127
ETHUSD,3.0,3.0,168,472,0.15290601411449065,0.09669845079388524,0.056207563320605385,28.177966101694917,1.059322033898305
ETHUSD,3.0,4.0,48,523,0.09932637520678629,0.10044732082988768,-0.0011209456231013669,13.193116634799235,20.076481835564053
ETHUSD,3.0,4.0,168,371,0.047871619459256526,0.09873964691342614,-0.05086802745416958,18.598382749326145,4.31266846361186
ETHUSD,4.0,1.0,48,770,0.054020613069865296,0.07999663081863227,-0.025976017748766993,49.48051948051948,5.584415584415584
ETHUSD,4.0,1.0,168,702,0.05083828252528799,0.07855286167888298,-0.02771457915359498,51.566951566951566,0.2849002849002849
ETHUSD,4.0,1.5,48,627,0.05484572732696533,0.08101886125837998,-0.02617313393141464,36.84210526315789,11.164274322169058
ETHUSD,4.0,1.5,168,532,-0.026738900025323403,0.07869111626873054,-0.10543001629405396,38.34586466165413,0.37593984962406013
ETHUSD,4.0,2.0,48,553,0.08085602678758282,0.08199905705362122,-0.001143030266038383,28.390596745027125,17.17902350813743
ETHUSD,4.0,2.0,168,447,0.021685859542813348,0.07764681170178635,-0.05596095215897297,33.33333333333333,1.1185682326621924
ETHUSD,4.0,2.5,48,530,0.07519505125914881,0.0830230513991616,-0.007828000140012763,21.50943396226415,21.132075471698116
ETHUSD,4.0,2.5,168,362,0.12260811478007917,0.07889699675374451,0.04371111802633464,30.386740331491712,3.0386740331491713
ETHUSD,4.0,3.0,48,506,0.1002980701440209,0.08384236121198724,0.01645570893203369,17.391304347826086,24.110671936758894
ETHUSD,4.0,3.0,168,308,0.12870785453085673,0.07838663618763493,0.050321218343221764,25.324675324675322,6.493506493506493
ETHUSD,4.0,4.0,48,473,0.06697843846583663,0.08577933074737948,-0.01880089228154287,9.513742071881607,30.021141649048626
ETHUSD,4.0,4.0,168,270,0.20414170502647241,0.0795806680056339,0.12456103702083854,20.74074074074074,8.88888888888889
SOLUSD,2.0,1.0,48,1112,0.05644750275070409,0.11287936741798578,-0.056431864667281686,51.798561151079134,0.08992805755395684
SOLUSD,2.0,1.0,168,1112,0.055907312236934445,0.11287936741798578,-0.05697205518105133,51.798561151079134,0.0
SOLUSD,2.0,1.5,48,944,0.04342657928643597,0.1126694074237051,-0.06924282813726915,40.78389830508475,0.5296610169491525
SOLUSD,2.0,1.5,168,941,0.04056146323580836,0.11257113448775952,-0.07200967125195112,41.0201912858661,0.0
SOLUSD,2.0,2.0,48,844,0.05816740008523588,0.11285792158640923,-0.054690521501173324,34.241706161137444,1.1848341232227488
SOLUSD,2.0,2.0,168,840,0.04835804947662712,0.11275312100015944,-0.06439507152353234,34.523809523809526,0.0
SOLUSD,2.0,2.5,48,755,0.07440572060500449,0.11330309786090369,-0.03889737725589921,29.5364238410596,1.8543046357615895
SOLUSD,2.0,2.5,168,747,0.06010647192939455,0.1130585935787474,-0.05295212164935286,29.98661311914324,0.0
SOLUSD,2.0,3.0,48,687,0.008965423014543361,0.11328301812752371,-0.10431759511298036,23.726346433770015,2.7656477438136826
SOLUSD,2.0,3.0,168,659,0.007192314470523484,0.1127213919394521,-0.1055290774689286,24.88619119878604,0.15174506828528073
