symbol,family,target_r,stop_mult,gate,trades,net_r,cost_r,win_rate,gross_r,rej_cost,med_r_bps,model
AKEUSD,atr_arm,2.0,4.0,0.097,41,-0.1951920235296944,0.034620650106964336,0.2682926829268293,-0.16057137342273003,3,372.19674602675946,maker/taker
AKEUSD,adx_only,1.0,2.0,0.097,74,0.08328564045151238,0.04410815862543893,0.5540540540540541,0.1273937990769513,4,300.50054044507806,maker/taker
AKEUSD,adx_only,1.0,4.0,0.097,26,-0.24604451898973642,0.03478141420148973,0.38461538461538464,-0.21126310478824667,0,319.29378924870156,maker/taker
AKEUSD,adx_only,2.0,2.0,0.097,57,0.13220582909870637,0.042076537093985386,0.38596491228070173,0.17428236619269177,4,302.5031410070554,maker/taker
AKEUSD,adx_only,2.0,4.0,0.097,24,-0.27050050955921107,0.035103897203129036,0.25,-0.23539661235608203,0,316.04003647327886,maker/taker
AKEUSD,wpr_only,1.0,2.0,0.097,189,-0.12851453236104937,0.04454925701724319,0.4497354497354497,-0.0839652753438062,71,267.8974564792059,maker/taker
AKEUSD,wpr_only,1.0,4.0,0.097,65,0.059478211388095885,0.032235137023440864,0.5384615384615384,0.09171334841153678,0,376.54060640142603,maker/taker
AKEUSD,wpr_only,2.0,2.0,0.097,139,-0.19136358221978386,0.043432244470353744,0.2805755395683453,-0.14793133774943015,36,284.97342815331973,maker/taker
AKEUSD,wpr_only,2.0,4.0,0.097,41,-0.05544530252348189,0.034546258527647616,0.3170731707317073,-0.02089904399583429,0,458.4864373890431,maker/taker
AKEUSD,atr_arm,1.0,2.0,0.15,169,-0.10969071707619144,0.025381523919677733,0.4556213017751479,-0.08430919315651368,0,230.59877760732587,maker/maker
AKEUSD,atr_arm,1.0,4.0,0.15,58,-0.22296898584454403,0.01750870917908133,0.39655172413793105,-0.20546027666546274,0,336.4643096521002,maker/maker
AKEUSD,atr_arm,2.0,2.0,0.15,140,-0.20843881425623406,0.02501597950915812,0.2714285714285714,-0.18342283474707594,0,248.8483567274643,maker/maker
AKEUSD,atr_arm,2.0,4.0,0.15,42,-0.20259384732782965,0.01706421125626311,0.2619047619047619,-0.1855296360715665,0,364.9403465329104,maker/maker
AKEUSD,adx_only,1.0,2.0,0.15,78,0.08725492963849331,0.021980702922102524,0.5512820512820513,0.10923563256059585,0,291.76053864501864,maker/maker
AKEUSD,adx_only,1.0,4.0,0.15,26,-0.23519694806689376,0.016000806533238942,0.38461538461538464,-0.21919614153365477,0,319.29378924870156,maker/maker
AKEUSD,adx_only,2.0,2.0,0.15,60,0.23644754132246817,0.02143269693496023,0.4166666666666667,0.2578802382574284,0,297.3752823183138,maker/maker
AKEUSD,adx_only,2.0,4.0,0.15,24,-0.25644462106966265,0.016149161286429733,0.25,-0.240295459783233,0,316.04003647327886,maker/maker
AKEUSD,wpr_only,1.0,2.0,0.15,206,-0.12731636724300144,0.02446745058420016,0.44660194174757284,-0.10284891665880129,0,259.3464979580652,maker/maker
AKEUSD,wpr_only,1.0,4.0,0.15,65,0.06762058566429079,0.014829419761271043,0.5384615384615384,0.08245000542556181,0,376.54060640142603,maker/maker
AKEUSD,wpr_only,2.0,2.0,0.15,145,-0.1090683751268656,0.022025069313049764,0.30344827586206896,-0.08704330581381585,0,282.13371825995574,maker/maker
AKEUSD,wpr_only,2.0,4.0,0.15,41,-0.042822965674568766,0.01589262575540904,0.3170731707317073,-0.026930339919159704,0,458.4864373890431,maker/maker
AKEUSD,atr_arm,1.0,2.0,0.045,152,-0.029788261792239323,0.021237801006083957,0.4934210526315789,-0.008550460786155342,21,268.35451522263827,maker/maker
AKEUSD,atr_arm,1.0,4.0,0.045,56,-0.22976303839353576,0.016973323275734847,0.39285714285714285,-0.2127897151178009,2,341.5223249066353,maker/maker
AKEUSD,atr_arm,2.0,2.0,0.045,123,-0.16224553591600008,0.019934932598039298,0.2845528455284553,-0.14231060331796086,18,274.50689970130014,maker/maker
AKEUSD,atr_arm,2.0,4.0,0.045,41,-0.18248395266262912,0.016555479061909333,0.2682926829268293,-0.16592847360071974,2,372.19674602675946,maker/maker
AKEUSD,adx_only,1.0,2.0,0.045,75,0.07964233229440294,0.020619952235283248,0.5466666666666666,0.10026228452968623,3,298.8725022623334,maker/maker
AKEUSD,adx_only,1.0,4.0,0.045,26,-0.23519694806689376,0.016000806533238942,0.38461538461538464,-0.21919614153365477,0,319.29378924870156,maker/maker
AKEUSD,adx_only,2.0,2.0,0.045,57,0.14650329356052536,0.019356847474036164,0.38596491228070173,0.16586014103456148,4,302.5031410070554,maker/maker
AKEUSD,adx_only,2.0,4.0,0.045,24,-0.25644462106966265,0.016149161286429733,0.25,-0.240295459783233,0,316.04003647327886,maker/maker
AKEUSD,wpr_only,1.0,2.0,0.045,189,-0.11556802836168555,0.020494395041070947,0.4497354497354497,-0.09507363332061462,71,267.8974564792059,maker/maker
AKEUSD,wpr_only,1.0,4.0,0.045,65,0.06762058566429079,0.014829419761271043,0.5384615384615384,0.08245000542556181,0,376.54060640142603,maker/maker
AKEUSD,wpr_only,2.0,2.0,0.045,139,-0.17503833968995855,0.01998052572125435,0.2805755395683453,-0.15505781396870416,36,284.97342815331973,maker/maker
AKEUSD,wpr_only,2.0,4.0,0.045,41,-0.042822965674568766,0.01589262575540904,0.3170731707317073,-0.026930339919159704,0,458.4864373890431,maker/maker
BANKUSD,atr_arm,1.0,2.0,0.15,139,-0.07674671037002895,0.06902078707487276,0.4892086330935252,-0.007725923295156208,5,259.50853028642865,taker/taker
BANKUSD,atr_arm,1.0,4.0,0.15,51,0.034917196212749614,0.04491045820381095,0.5294117647058824,0.07982765441656059,0,405.7136340309051,taker/taker
BANKUSD,atr_arm,2.0,2.0,0.15,103,-0.03850362216504251,0.0704742787987614,0.33980582524271846,0.031970656633718904,2,254.34279954941698,taker/taker
BANKUSD,atr_arm,2.0,4.0,0.15,33,0.3447852667759667,0.03956836147847414,0.45454545454545453,0.3843536282544409,0,424.9942568343682,taker/taker
BANKUSD,adx_only,1.0,2.0,0.15,55,-0.039674642259147214,0.06567688083245656,0.509090909090909,0.02600223857330934,3,274.0341419586685,taker/taker
BANKUSD,adx_only,1.0,4.0,0.15,23,0.01432495178423681,0.048813483118572434,0.5217391304347826,0.06313843490280928,0,389.1366031617345,taker/taker
