cell,tf,conf,gates,tgt,hrs,net,pos,nblk,n,win,dd,wk,lo,hi,allsym,s_BEAT,s_AKEU,s_BANK,b0,b1,b2,b3
15/3m c=- ST+DI     1.5R 18-24,15/3,-,ST+DI,1.5,18-24,-0.3726132668678463,2,3.0,11,0.2727272727272727,5.961012207050001,0.35178223004806547,-1.051592784899517,0.315127359149402,False,-0.22080401205031824,-1.0541051062774318,-1.0574047208160133,1.3889811206948333,,0.23664257540442946,-0.7451265258812502
15/3m c=- ST+DI     3R all,15/3,-,ST+DI,3.0,all,-0.748168196332892,0,4.0,40,0.1,31.578833506748293,1.2792081092656926,-1.0046973876971836,-0.41659099529587934,False,-0.7084954662276185,-0.8376389618400627,-1.0406510194741319,-0.07740590901195932,-1.0008380358176363,-0.5721974803921516,-0.937369115464574
15/3m c=- ST+DI     3R 18-24,15/3,-,ST+DI,3.0,18-24,-0.3137607872956086,1,3.0,11,0.18181818181818182,6.318063335222393,0.35178223004806547,-1.0594108126168784,0.7946515548799261,False,-0.14887320368424992,-1.0541051062774318,-1.0574047208160133,2.8666946749706987,,-1.018774854131283,-0.5350642033699784
15/3m c=- ST+DI+A25 1R all,15/3,-,ST+DI+A25,1.0,all,-0.4792135427019758,0,3.0,11,0.2727272727272727,7.191309386695814,0.35178223004806547,-1.0165949909126257,0.07303842146878409,False,-0.27076870158015254,,-1.0350664523601714,-0.010442218126590186,-1.0635470420107622,,-0.6943388425341018
15/3m c=- ST+DI+A25 1R 18-24,15/3,-,ST+DI+A25,1.0,18-24,-0.051088008378951555,1,2.0,2,0.5,1.0399732194462699,0.06396040546328463,-1.0399732194462699,0.9377972026883667,False,-0.051088008378951555,,,0.9377972026883667,,,-1.0399732194462699
15/3m c=- ST+DI+A25 1.5R all,15/3,-,ST+DI+A25,1.5,all,-0.3534479234470415,1,3.0,11,0.2727272727272727,6.691574912769434,0.35178223004806547,-1.012614415577753,0.3190296223873993,False,-0.0978409751046179,,-1.0350664523601714,0.21047961634288406,-1.0635470420107624,,-0.6110497635463719
15/3m c=- ST+DI+A25 1.5R 18-24,15/3,-,ST+DI+A25,1.5,18-24,0.1745039506242816,1,2.0,2,0.5,1.03997321944627,0.06396040546328463,-1.03997321944627,1.3889811206948333,True,0.1745039506242816,,,1.3889811206948333,,,-1.03997321944627
15/3m c=- ST+DI+A25 3R all,15/3,-,ST+DI+A25,3.0,all,-0.4877911728173018,0,3.0,11,0.18181818181818182,7.017808554422923,0.35178223004806547,-1.0590365421057915,0.41170134134084896,False,-0.28256294298872564,,-1.0350664523601714,-0.07740590901195932,-1.0635470420107622,,-0.6654220371552865
15/3m c=- ST+DI+A25 3R 18-24,15/3,-,ST+DI+A25,3.0,18-24,0.9133607277622143,1,2.0,2,0.5,1.03997321944627,0.06396040546328463,-1.03997321944627,2.8666946749706987,True,0.9133607277622143,,,2.8666946749706987,,,-1.03997321944627
15/5m c=x none      1R all,15/5,x,none,1.0,all,-0.35811167412487904,0,2.0,12,0.3333333333333333,6.200985783259943,0.3837624327797078,-0.8720461831409491,0.18629467016668025,False,-0.5223438273121006,0.3094428061618773,-1.0469178894873759,,-0.30217450986018907,,-0.3767573955464425
