label,trades,effective_n,deff,win_rate,gross_r,cost_r,funding_r,net_r,median_r,avg_win,avg_loss,profit_factor,sharpe,sortino,max_dd_r,ci_low,ci_high,t_net,t_gross,hold_mean,hold_median,stop_pct_mean,stop_pct_median,pct_positive_months,pct_target,pct_stop,pct_time,pct_long,percentile,min_duration,volume_mult,body_mult,target_r
percentile=0.2|min_duration=4|volume_mult=1.0|body_mult=0.25|target_r=2.0,62,57.4,1.08,0.2903,-0.0715,0.286,0.00644,-0.364,-0.7577,1.1523,-0.9842,0.479,-26.166,-63.716,22.9,-0.5598,-0.1776,-3.522,-0.592,16.23,20.5,0.402,0.38,0.0,12.9,46.8,40.3,45.2,0.2,4,1.0,0.25,2.0
percentile=0.2|min_duration=4|volume_mult=1.0|body_mult=0.25|target_r=3.0,62,62.0,1.0,0.2581,-0.1945,0.3066,0.00474,-0.5058,-0.9771,0.915,-1.0,0.318,-37.878,-86.112,30.79,-0.6913,-0.3192,-5.269,-1.751,17.45,22.0,0.402,0.38,0.0,3.2,50.0,46.8,45.2,0.2,4,1.0,0.25,3.0
percentile=0.2|min_duration=4|volume_mult=1.0|body_mult=0.5|target_r=2.0,54,54.0,1.0,0.2778,-0.1151,0.2766,0.00341,-0.3952,-0.6632,1.0368,-0.946,0.422,-29.149,-64.83,21.67,-0.59,-0.1899,-3.827,-0.97,17.35,21.0,0.42,0.402,20.0,11.1,44.4,44.4,40.7,0.2,4,1.0,0.5,2.0
percentile=0.2|min_duration=4|volume_mult=1.0|body_mult=0.5|target_r=3.0,54,54.0,1.0,0.2778,-0.127,0.2916,0.00128,-0.4198,-0.6632,0.9482,-0.946,0.386,-30.186,-67.203,22.1,-0.5993,-0.232,-4.366,-1.145,18.22,23.0,0.42,0.402,20.0,3.7,44.4,51.9,40.7,0.2,4,1.0,0.5,3.0
percentile=0.2|min_duration=4|volume_mult=1.0|body_mult=0.75|target_r=2.0,38,35.2,1.08,0.2105,-0.2115,0.2763,0.00485,-0.4926,-0.828,1.2236,-0.9503,0.343,-36.33,-78.331,18.09,-0.7064,-0.2858,-4.385,-1.878,17.71,21.0,0.415,0.397,20.0,10.5,47.4,42.1,47.4,0.2,4,1.0,0.75,2.0
percentile=0.2|min_duration=4|volume_mult=1.0|body_mult=0.75|target_r=3.0,38,34.0,1.12,0.2105,-0.2189,0.2894,0.00182,-0.5101,-0.828,1.1405,-0.9503,0.32,-37.564,-79.648,18.75,-0.7401,-0.281,-4.194,-1.804,18.37,22.5,0.415,0.397,20.0,2.6,47.4,50.0,47.4,0.2,4,1.0,0.75,3.0
percentile=0.2|min_duration=4|volume_mult=1.5|body_mult=0.25|target_r=2.0,44,44.0,1.0,0.25,-0.1101,0.2718,0.00223,-0.3842,-1.1216,1.4279,-0.9882,0.482,-27.071,-68.627,18.11,-0.647,-0.1176,-2.871,-0.767,15.48,18.5,0.422,0.4,20.0,15.9,52.3,31.8,43.2,0.2,4,1.5,0.25,2.0
percentile=0.2|min_duration=4|volume_mult=1.5|body_mult=0.25|target_r=3.0,44,44.0,1.0,0.2273,-0.2152,0.2957,-0.00016,-0.5107,-1.1308,1.141,-0.9965,0.337,-36.573,-87.842,22.54,-0.7669,-0.2322,-3.798,-1.484,17.02,21.0,0.422,0.4,20.0,4.5,54.5,40.9,43.2,0.2,4,1.5,0.25,3.0
percentile=0.2|min_duration=4|volume_mult=1.5|body_mult=0.5|target_r=2.0,41,41.0,1.0,0.2439,-0.1546,0.2776,0.00239,-0.4345,-1.1208,1.236,-0.9734,0.41,-31.922,-73.929,19.22,-0.6877,-0.1634,-3.246,-1.046,16.27,20.0,0.429,0.423,20.0,12.2,51.2,36.6,39.0,0.2,4,1.5,0.5,2.0
percentile=0.2|min_duration=4|volume_mult=1.5|body_mult=0.5|target_r=3.0,41,41.0,1.0,0.2439,-0.1586,0.2945,-0.00042,-0.4527,-1.1208,1.1616,-0.9734,0.385,-31.383,-74.542,18.62,-0.6911,-0.1859,-3.53,-1.133,17.37,21.0,0.429,0.423,40.0,4.9,51.2,43.9,39.0,0.2,4,1.5,0.5,3.0
