day,symbol,side,turnover
2026-04-29 00:00:00+00:00,SOLUSD,SHORT,87689875.243
2026-04-29 00:00:00+00:00,ZECUSD,LONG,2698957.455
2026-04-29 00:00:00+00:00,AAVEUSD,LONG,2077482.63
2026-05-06 00:00:00+00:00,HUSD,SHORT,1792214.2774999999
2026-05-06 00:00:00+00:00,AINUSD,SHORT,1241292.4545
2026-05-06 00:00:00+00:00,LTCUSD,LONG,1499576.7645
2026-05-06 00:00:00+00:00,ZECUSD,LONG,3555690.8175000004
2026-05-13 00:00:00+00:00,AINUSD,SHORT,1241292.4545
2026-05-13 00:00:00+00:00,HUSD,SHORT,1792214.2774999999
2026-05-13 00:00:00+00:00,BTCUSD,LONG,933623903.36
2026-05-13 00:00:00+00:00,ZECUSD,LONG,4186995.9164999994
2026-05-20 00:00:00+00:00,AAVEUSD,SHORT,1693632.045
2026-05-20 00:00:00+00:00,ZECUSD,SHORT,5457458.427000001
2026-05-20 00:00:00+00:00,ETHUSD,LONG,489397016.4075
2026-05-20 00:00:00+00:00,HUSD,LONG,1963665.912
2026-05-27 00:00:00+00:00,AAVEUSD,SHORT,1522298.21
2026-05-27 00:00:00+00:00,DOGEUSD,SHORT,3983717.586
2026-05-27 00:00:00+00:00,ETHUSD,LONG,459053348.0905
2026-05-27 00:00:00+00:00,HUSD,LONG,1795504.35
2026-06-03 00:00:00+00:00,AAVEUSD,SHORT,1409387.365
2026-06-03 00:00:00+00:00,ZECUSD,SHORT,6285576.038000001
2026-06-03 00:00:00+00:00,HYPEUSD,LONG,1556087.8595
2026-06-03 00:00:00+00:00,HUSD,LONG,1889416.186
2026-06-10 00:00:00+00:00,AAVEUSD,SHORT,1310168.8050000002
2026-06-10 00:00:00+00:00,DOGEUSD,SHORT,4001644.2555
2026-06-10 00:00:00+00:00,ETHUSD,LONG,484591634.079
2026-06-10 00:00:00+00:00,HUSD,LONG,6310870.736
2026-06-17 00:00:00+00:00,HUSD,SHORT,16646307.105
2026-06-17 00:00:00+00:00,BNBUSD,SHORT,2368454.02
2026-06-17 00:00:00+00:00,BTCUSD,LONG,909248677.503
2026-06-17 00:00:00+00:00,ETHUSD,LONG,527921215.16925
2026-06-24 00:00:00+00:00,DOGEUSD,SHORT,3491971.1789999995
2026-06-24 00:00:00+00:00,BNBUSD,SHORT,2644693.6380000003
2026-06-24 00:00:00+00:00,ETHUSD,LONG,529356609.38400006
2026-06-24 00:00:00+00:00,HUSD,LONG,22948590.844
2026-07-01 00:00:00+00:00,HUSD,SHORT,23969517.7015
2026-07-01 00:00:00+00:00,DOGEUSD,SHORT,3318780.9924999997
2026-07-01 00:00:00+00:00,ETHUSD,LONG,590229477.6675
2026-07-01 00:00:00+00:00,HYPEUSD,LONG,1381873.6295
2026-07-08 00:00:00+00:00,HUSD,SHORT,21147300.633
2026-07-08 00:00:00+00:00,RIVERUSD,SHORT,1018232.0075000001
2026-07-08 00:00:00+00:00,ETHUSD,LONG,529356609.38400006
2026-07-08 00:00:00+00:00,HYPEUSD,LONG,1266891.405
2026-07-15 00:00:00+00:00,HUSD,SHORT,8433907.7175
2026-07-15 00:00:00+00:00,BEATUSD,SHORT,14193250.511999998
2026-07-15 00:00:00+00:00,BTCUSD,LONG,936164524.461
2026-07-15 00:00:00+00:00,ETHUSD,LONG,520933214.31125
2026-07-22 00:00:00+00:00,HUSD,SHORT,4057657.4175000004
2026-07-22 00:00:00+00:00,BEATUSD,SHORT,8003771.9125
2026-07-22 00:00:00+00:00,BTCUSD,LONG,928788243.7620001
2026-07-22 00:00:00+00:00,ETHUSD,LONG,505530462.97249997
2026-07-29 00:00:00+00:00,HUSD,SHORT,1206156.267
2026-07-29 00:00:00+00:00,DOGEUSD,SHORT,2457749.392
2026-07-29 00:00:00+00:00,ETHUSD,LONG,505530462.97249997
2026-07-29 00:00:00+00:00,BEATUSD,LONG,8394091.4745
2026-08-05 00:00:00+00:00,BEATUSD,SHORT,9415642.6885
2026-08-05 00:00:00+00:00,AAVEUSD,SHORT,1948326.065
2026-08-05 00:00:00+00:00,BTCUSD,LONG,815347058.3297501
2026-08-05 00:00:00+00:00,ETHUSD,LONG,490311129.56799996
2026-08-12 00:00:00+00:00,BEATUSD,SHORT,12017279.084
2026-08-12 00:00:00+00:00,DOGEUSD,SHORT,2149869.579
2026-08-12 00:00:00+00:00,BTCUSD,LONG,754698262.9365001
2026-08-12 00:00:00+00:00,ETHUSD,LONG,455426025.57275003
2026-08-19 00:00:00+00:00,BEATUSD,SHORT,16746035.558
2026-08-19 00:00:00+00:00,BLESSUSD,SHORT,1520267.392
2026-08-19 00:00:00+00:00,BTCUSD,LONG,719217278.0074999
2026-08-19 00:00:00+00:00,ETHUSD,LONG,415825242.48975
2026-08-26 00:00:00+00:00,BEATUSD,SHORT,15386715.601
2026-08-26 00:00:00+00:00,HUSD,SHORT,2021917.2799999998
2026-08-26 00:00:00+00:00,BTCUSD,LONG,760683760.8655
2026-08-26 00:00:00+00:00,ETHUSD,LONG,448259069.3495
