label,trades,family,swing_n,struct_tf,exec_tf,trigger,grid,signals,skipped_stop,skipped_size,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
A|N3|15m->5m|oneshot,2087,A,3,15,5,oneshot,mtf,3393,125,0,1819.6,4,0.3474,0.0637,-1.1262,-1.0,0.4301,0.1458,0.00335,0.5793,-0.5156,133.0,-1076.0,0.532,1.099,1087.8,0.7214,9.09,100.0,35.5,64.5,0.3,130.0,5.92,0.6675,0.5079,0.3536,3.0,45.0,60.0,1.162,-1.138,5.0,1.055,1.808,-5.415,-0.0024,0.1255,-0.6944,-0.3537
A|N3|15m->5m|level,2746,A,3,15,5,level,mtf,41368,2876,0,2746.0,4,0.3237,0.0401,-1.1309,-1.0,0.8849,0.3,0.00231,1.1872,-1.1471,110.0,-3150.0,0.315,1.061,3165.0,0.6437,29.636,100.0,34.7,65.3,1.6,92.0,7.79,0.6333,0.4811,0.3456,3.0,45.0,105.0,1.04,-1.215,4.0,1.0,1.449,-9.763,-0.0124,0.0969,-1.3867,-0.9346
A|N5|5m->15m|oneshot,3748,A,5,5,15,oneshot,mtf,6365,289,0,3748.0,4,0.3204,0.0069,-1.1809,-1.0,0.5162,0.175,0.00209,0.6933,-0.6864,26.0,-2572.6,0.427,1.01,2581.5,0.5219,99.948,100.0,33.6,66.4,0.3,70.5,10.63,0.6531,0.4952,0.3356,5.0,25.0,40.0,1.578,-1.561,8.0,1.0,0.291,-11.12,-0.0403,0.0534,-0.8182,-0.5786
A|N5|5m->15m|level,4455,A,5,5,15,level,mtf,46187,2914,0,4364.6,4,0.3102,0.0135,-1.1717,-1.0,0.9718,0.3294,0.00289,1.3042,-1.2907,60.0,-5750.0,0.275,1.02,5757.4,0.4958,96.834,100.0,33.8,66.2,1.4,55.0,12.63,0.6426,0.492,0.3376,5.0,25.0,60.0,1.372,-1.552,7.0,1.046,0.62,-6.681,-0.031,0.0546,-1.7067,-0.9901
A|N5|15m->5m|oneshot,1338,A,5,15,5,oneshot,mtf,2152,109,0,928.7,4,0.3393,0.0291,-1.106,-1.0,0.2599,0.0881,0.00324,0.3512,-0.322,39.0,-430.9,0.646,1.044,438.3,0.8949,12.048,100.0,34.3,65.7,0.2,226.0,3.81,0.657,0.5075,0.3408,5.0,75.0,97.5,1.487,-1.462,8.0,1.055,0.652,-5.729,-0.0426,0.1009,-0.4203,-0.2365
A|N5|15m->5m|level,1947,A,5,15,5,level,mtf,40996,3231,0,1947.0,4,0.321,0.0324,-1.1096,-1.0,0.7714,0.2615,0.00338,1.0363,-1.004,63.0,-1954.7,0.349,1.049,1962.9,0.7554,32.027,100.0,34.4,65.6,1.6,128.0,5.53,0.641,0.4972,0.3421,5.0,75.0,180.0,1.29,-1.605,7.0,1.062,0.996,-6.858,-0.0293,0.0955,-1.3224,-0.7455
A|N8|5m->15m|oneshot,2424,A,8,5,15,oneshot,mtf,4157,182,0,1695.1,4,0.3325,0.0322,-1.1397,-1.0,0.3748,0.127,0.00152,0.5033,-0.4712,78.0,-1142.1,0.54,1.049,1154.1,0.662,15.642,100.0,34.4,65.6,0.2,105.0,6.88,0.665,0.4934,0.3436,8.0,40.0,55.0,2.033,-2.025,12.0,0.992,0.891,-8.984,-0.026,0.0928,-0.5602,-0.3918
A|N8|5m->15m|level,3213,A,8,5,15,level,mtf,44587,3105,0,3213.0,4,0.3193,0.0233,-1.142,-1.0,0.8428,0.2857,-0.00082,1.1276,-1.1043,75.0,-3548.1,0.319,1.035,3560.8,0.5967,48.308,100.0,34.1,65.9,1.4,78.0,9.11,0.639,0.4802,0.3405,8.0,40.0,95.0,1.691,-2.089,11.0,0.999,0.907,-9.419,-0.0243,0.0756,-1.3486,-0.9032
A|N8|15m->5m|oneshot,894,A,8,15,5,oneshot,mtf,1385,86,0,707.6,4,0.3557,0.0705,-1.0836,-1.0,0.1789,0.0606,0.00469,0.2442,-0.1738,63.0,-155.3,0.784,1.11,160.9,1.0892,3.466,100.0,35.7,64.3,0.2,304.5,2.54,0.7025,0.5213,0.3557,8.0,120.0,135.0,1.861,-1.771,11.0,1.078,1.354,-3.208,-0.0201,0.1611,-0.2662,-0.0796
A|N8|15m->5m|level,1577,A,8,15,5,level,mtf,40503,3940,0,1516.2,4,0.3088,0.0063,-1.1101,-1.0,0.8947,0.3033,0.00445,1.2025,-1.1961,10.0,-1886.3,0.298,1.01,1893.7,0.7204,189.627,100.0,33.5,66.5,2.2,107.0,4.48,0.6367,0.4902,0.3348,8.0,120.0,270.0,1.697,-2.264,11.0,1.061,0.176,-7.902,-0.0621,0.0767,-1.5095,-0.9186
