label,trades,symbol,family,swing_n,struct_tf,exec_tf,trigger,grid,candidate,split,effective_n,symbols,win_rate,gross_r,median_r,median_gross_r,fee_r,slip_r,funding_r,cost_r,net_r,gross_total_r,net_total_r,profit_factor,pf_gross,max_dd_r,stop_pct_median,cost_over_gross,pct_long,pct_target,pct_stop,ambiguous_pct,hold_median_min,trades_per_day,p_hit_05r,p_hit_1r,p_hit_2r,conf_delay_bars_median,conf_delay_min_median,signal_lag_min_median,disp_atr_median,break_dist_atr_median,bars_between_swings_median,mfe_r_median,t_gross,t_net,gross_ci_low,gross_ci_high,net_ci_low,net_ci_high
B|N8|5m->15m|level|SOLUSD,815,SOLUSD,B,8,5,15,level,mtf,B|N8|5m->15m|level,train,815.0,1,0.3227,0.0454,-1.1196,-1.0,0.9336,0.3165,-0.00436,1.2458,-1.2004,37.0,-978.3,0.305,1.07,986.2,0.651,27.44,0.0,34.8,65.2,0.7,62.0,2.31,0.6552,0.5031,0.3485,8.0,40.0,90.0,2.003,-2.23,11.0,1.102,0.933,-3.01,-0.0503,0.1411,-2.0853,-0.6178
B|N8|5m->15m|level|XRPUSD,829,XRPUSD,B,8,5,15,level,mtf,B|N8|5m->15m|level,train,829.0,1,0.3233,0.035,-1.1306,-1.0,0.6583,0.2231,0.00201,0.8834,-0.8485,29.0,-703.4,0.376,1.053,707.1,0.6362,25.254,0.0,34.5,65.5,1.1,67.0,2.35,0.6405,0.4994,0.345,8.0,40.0,95.0,1.945,-2.286,11.0,1.076,0.719,-7.036,-0.0627,0.1327,-1.0841,-0.6299
B|N8|15m->5m|oneshot|BTCUSD,242,BTCUSD,B,8,15,5,oneshot,mtf,B|N8|15m->5m|oneshot,train,241.9,1,0.3264,0.0413,-1.1597,-1.0,0.4211,0.1427,-0.00417,0.5597,-0.5184,10.0,-125.4,0.512,1.063,124.1,0.5968,13.545,0.0,34.7,65.3,0.0,226.5,0.69,0.6777,0.5248,0.343,8.0,120.0,135.0,2.056,-2.234,13.0,1.116,0.478,-4.643,-0.1322,0.2149,-0.7389,-0.2946
B|N8|15m->5m|oneshot|ETHUSD,233,ETHUSD,B,8,15,5,oneshot,mtf,B|N8|15m->5m|oneshot,train,233.0,1,0.3863,0.1588,-1.0747,-1.0,0.1795,0.0609,-0.00284,0.2376,-0.0788,37.0,-18.4,0.898,1.259,42.8,0.97,1.496,0.0,38.6,61.4,0.4,236.0,0.66,0.7167,0.5322,0.3863,8.0,120.0,195.0,1.898,-2.08,11.0,1.317,1.859,-0.846,-0.0086,0.3262,-0.2572,0.1072
B|N8|15m->5m|oneshot|SOLUSD,230,SOLUSD,B,8,15,5,oneshot,mtf,B|N8|15m->5m|oneshot,train,230.0,1,0.3609,0.0826,-1.0713,-1.0,0.1272,0.0431,-0.0024,0.168,-0.0854,19.0,-19.6,0.886,1.129,36.9,1.4189,2.033,0.0,36.1,63.9,0.0,264.5,0.66,0.7,0.5478,0.3609,8.0,120.0,135.0,2.172,-2.056,11.0,1.266,0.872,-0.87,-0.1,0.2655,-0.2712,0.1063
B|N8|15m->5m|oneshot|XRPUSD,247,XRPUSD,B,8,15,5,oneshot,mtf,B|N8|15m->5m|oneshot,train,247.0,1,0.3198,-0.004,-1.0797,-1.0,0.1904,0.0645,0.00234,0.2573,-0.2613,-1.0,-64.5,0.689,0.994,80.8,1.1496,,0.0,33.2,66.8,0.0,272.0,0.71,0.6923,0.4899,0.332,8.0,120.0,135.0,1.888,-2.175,11.0,0.982,-0.044,-2.786,-0.1862,0.1781,-0.4384,-0.0667
B|N8|15m->5m|level|BTCUSD,422,BTCUSD,B,8,15,5,level,mtf,B|N8|15m->5m|level,train,422.0,1,0.2583,-0.0261,-1.2632,-1.0,2.1262,0.7207,-0.00309,2.8438,-2.8699,-11.0,-1211.1,0.126,0.961,1209.8,0.3832,,0.0,32.5,67.5,0.9,93.5,1.2,0.6374,0.4976,0.3223,8.0,120.0,285.0,1.706,-2.484,12.0,1.041,-0.397,-3.505,-0.154,0.1019,-4.7645,-1.6124
B|N8|15m->5m|level|ETHUSD,511,ETHUSD,B,8,15,5,level,mtf,B|N8|15m->5m|level,train,511.0,1,0.2896,-0.0196,-1.1395,-1.0,1.1859,0.402,-0.00433,1.5836,-1.6032,-10.0,-819.2,0.228,0.971,819.3,0.6023,,0.0,32.7,67.3,1.4,76.0,1.45,0.6458,0.4736,0.3268,8.0,120.0,270.0,1.478,-2.64,11.0,1.0,-0.336,-4.492,-0.137,0.092,-2.3718,-1.0144
B|N8|15m->5m|level|SOLUSD,458,SOLUSD,B,8,15,5,level,mtf,B|N8|15m->5m|level,train,442.9,1,0.3319,0.0873,-1.0828,-1.0,0.6021,0.2041,-0.00514,0.8011,-0.7138,40.0,-326.9,0.435,1.137,343.9,0.753,9.173,0.0,36.2,63.8,1.1,83.5,1.31,0.6681,0.5109,0.3624,8.0,120.0,255.0,1.855,-2.613,11.0,1.134,1.208,-4.867,-0.0437,0.2251,-1.0,-0.4446
B|N8|15m->5m|level|XRPUSD,454,XRPUSD,B,8,15,5,level,mtf,B|N8|15m->5m|level,train,429.8,1,0.3194,0.0903,-1.0872,-1.0,0.7325,0.2483,0.00157,0.9824,-0.8921,41.0,-405.0,0.373,1.142,399.6,0.7402,10.879,0.0,36.3,63.7,1.1,83.0,1.3,0.6938,0.5154,0.3634,8.0,120.0,270.0,1.786,-2.769,11.0,1.079,1.404,-5.674,-0.0352,0.2159,-1.2092,-0.6105
