candidate_id,symbol,mechanism,exec_tf,trades,gross_expectancy,fee_drag,slippage_drag,funding_drag,net_expectancy,gross_total_R,net_total_R,win_rate,wins,losses,longs,shorts,median_net_R,avg_stop_pct,median_stop_pct,median_stop_bps,cost_per_R,pct_target,pct_stop,unresolved_at_boundary,effective_n,profit_factor,max_dd_R
M2|5m|5/20|s0.25,SOLUSD,M2,5,26,0.15384615384615385,-0.10387450463216769,-0.035211696485480566,0.0011483658884779656,0.01590831861698359,4.0,0.41361628404157336,0.38461538461538464,10,16,11,15,-1.0685374984306462,1.5454373433374533,1.3180358484273922,131.80358484273924,0.13793783522917025,38.46153846153847,61.53846153846154,0,26.0,1.022,8.91
M2|5m|5/20|s0.25,XRPUSD,M2,5,22,-0.045454545454545456,-0.13991135872453014,-0.04742757922865429,-0.0071149367195896315,-0.23990842012731955,-1.0,-5.27798524280103,0.3181818181818182,7,15,11,11,-1.0915942612713918,1.3786099978758892,1.086839205286518,108.68392052865178,0.19445387467277406,31.818181818181817,68.18181818181817,0,22.0,0.709,11.56
M2|5m|5/20|s0.50,ETHUSD,M2,5,3,1.0,-0.038516411344181455,-0.013056410625146257,0.012868348679487418,0.9612955267101597,3.0,2.883886580130479,0.6666666666666666,2,1,1,2,1.9599366818477553,3.050659861343857,3.3138569672926375,331.3856967292637,0.03870447328984029,66.66666666666666,33.33333333333333,0,3.0,3.712,0.0
M3|5m|5/20|v1.2,BTCUSD,M3,5,369,0.056910569105691054,-0.2775380750353376,-0.09408070340180938,0.00019341124589276226,-0.31451479808556315,21.0,-116.05596049357281,0.3523035230352303,130,239,204,165,-1.2169774587458746,0.6176013746248918,0.5248247557476483,52.48247557476483,0.3714253671912542,35.230352303523034,64.76964769647697,0,364.1,0.645,120.1
M3|5m|5/20|v1.2,ETHUSD,M3,5,263,0.09505703422053231,-0.14604510838644022,-0.04950681640218312,0.0011415574238612584,-0.09935333314422981,25.0,-26.12992661693244,0.3650190114068441,96,167,127,136,-1.1098867399463663,1.0776442998329951,0.9151787431537939,91.51787431537939,0.19441036736476208,36.50190114068441,63.49809885931559,0,263.0,0.87,40.83
M3|5m|5/20|v1.2,SOLUSD,M3,5,287,-0.04878048780487809,-0.12596519731567843,-0.042700066886670655,0.00039094487229382203,-0.21705480713493336,-14.000000000000012,-62.29472964772587,0.3170731707317073,91,196,148,139,-1.1133166926621767,1.2330085100569115,1.0397475726254897,103.97475726254896,0.16827431933005527,31.70731707317073,68.29268292682927,0,282.3,0.728,67.21
M3|5m|5/20|v1.2,XRPUSD,M3,5,263,0.03802281368821294,-0.13697019513978967,-0.04643057462365752,0.001003794468525105,-0.14437416160670916,10.000000000000004,-37.970404502564506,0.34600760456273766,91,172,141,122,-1.1032553055737395,1.2350066292065758,0.9944043686375001,99.44043686375002,0.18239697529492208,34.60076045627377,65.39923954372624,0,259.6,0.813,50.64
M3|5m|5/20|v1.5,BTCUSD,M3,5,105,0.11428571428571428,-0.1845349691324329,-0.06255422682455353,0.002383301539008482,-0.1304201801322636,12.0,-13.69411891388768,0.37142857142857144,39,66,57,48,-1.1162646458166667,0.8537065189408508,0.6900832389343927,69.00832389343928,0.24470589441797788,37.142857142857146,62.857142857142854,0,105.0,0.833,19.32
M3|5m|5/20|v1.5,ETHUSD,M3,5,53,-0.20754716981132076,-0.10314630047726578,-0.03496484761941214,0.003537774708801564,-0.3421205431991971,-11.0,-18.132388789557446,0.2641509433962264,14,39,24,29,-1.1070642013888892,1.5400401719957428,1.331796543121817,133.17965431218173,0.13457337338787637,26.41509433962264,73.58490566037736,0,53.0,0.594,19.23
M3|5m|5/20|v1.5,SOLUSD,M3,5,43,-0.23255813953488372,-0.07951767028708585,-0.02695514247019859,0.001653171844940387,-0.33737778044722777,-10.0,-14.507244559230793,0.2558139534883721,11,32,24,19,-1.0772657469824114,1.9508366270401245,1.7907048624363702,179.07048624363702,0.10481964091234407,25.581395348837212,74.4186046511628,0,39.0,0.59,20.77
M3|5m|5/20|v1.5,XRPUSD,M3,5,33,-0.09090909090909091,-0.07786664521560173,-0.026395472954441265,0.0006563425392504359,-0.19451486653988348,-3.0,-6.418990595816155,0.30303030303030304,10,23,18,15,-1.054587518037518,2.0352718638752774,1.8429816158021985,184.29816158021987,0.10360577563079255,30.303030303030305,69.6969696969697,0,33.0,0.746,9.49
M4|5m|5/20|d0.25,BTCUSD,M4,5,1515,0.0891089108910891,-0.5422378121470287,-0.1838094278464504,0.0001122696267315007,-0.6368260594756584,135.0,-964.7914801056226,0.35115511551155115,532,983,765,750,-1.3272943956043957,0.369462913989926,0.2722113318183561,27.22113318183561,0.7259349703667476,36.303630363036305,63.6963696369637,0,1253.4,0.422,969.09
M4|5m|5/20|d0.25,ETHUSD,M4,5,1542,0.0311284046692607,-0.28988464004436876,-0.09826597967605721,0.0007257392652457097,-0.35629647578591955,48.0,-549.409165661888,0.3430609597924773,529,1013,798,744,-1.198639795497753,0.6185851925510826,0.48553012869770684,48.55301286977068,0.38742488045518025,34.37094682230869,65.6290531776913,0,1542.0,0.608,547.76
M4|5m|5/20|d0.25,SOLUSD,M4,5,1587,0.02457466918714555,-0.2511182723495625,-0.08512483808459746,0.0001250296531527786,-0.3115434115938617,38.999999999999986,-494.41939419945845,0.34152488972904854,542,1045,836,751,-1.183553322601417,0.7161432923592872,0.5565905247771652,55.65905247771652,0.3361180807810072,34.152488972904855,65.84751102709515,0,1587.0,0.644,501.54
M4|5m|5/20|d0.25,XRPUSD,M4,5,1569,-0.024856596558317394,-0.2816091648660521,-0.09546073385289901,0.0008297535830408579,-0.4010967416942276,-38.99999999999999,-629.3207877182431,0.3244104525175271,509,1060,800,769,-1.1903682417582442,0.6903189251246893,0.5097245649516974,50.972456495169745,0.3762401451359102,32.504780114722756,67.49521988527725,0,1449.2,0.57,635.71
M4|5m|5/20|d0.5,BTCUSD,M4,5,1422,-0.02109704641350211,-0.47350683813584415,-0.16051079258842174,-0.0001675900717309324,-0.6552822672094989,-30.0,-931.8113839719075,0.3150492264416315,448,974,710,712,-1.3076495204764884,0.44672968779483085,0.3347452444651137,33.47452444651137,0.6341852207959969,32.63009845288326,67.36990154711674,0,1208.0,0.409,929.61
M4|5m|5/20|d0.5,ETHUSD,M4,5,1487,0.028917283120376596,-0.2425906665055013,-0.08223412423915297,0.0006822787658549242,-0.2952252288584227,43.0,-438.9999153124745,0.3429724277067922,510,977,759,728,-1.1625943189368777,0.7532075995519557,0.5887274254105888,58.87274254105888,0.3241425119787993,34.29724277067922,65.70275722932078,0,1427.8,0.661,449.47
M4|5m|5/20|d0.5,SOLUSD,M4,5,1595,0.03824451410658305,-0.21376773595676407,-0.07246363930737765,0.0001729672575626257,-0.24781389389999608,60.999999999999964,-395.26316077049376,0.34545454545454546,551,1044,807,788,-1.1489896363636347,0.8436420166192724,0.6526339098983879,65.26339098983878,0.2860584080065791,34.608150470219435,65.39184952978057,0,1459.7,0.704,415.45
M4|5m|5/20|d0.5,XRPUSD,M4,5,1653,0.00725952813067151,-0.24244483207138132,-0.08218468883775638,0.0006068885410903696,-0.3167631042373758,12.000000000000007,-523.6094113043822,0.3339382940108893,552,1101,851,802,-1.156664657073817,0.7978186995566059,0.5989550146552823,59.895501465528234,0.3240226323680473,33.57531760435572,66.42468239564428,0,1633.9,0.64,527.08
M5|5m|5/20,BTCUSD,M5,5,1434,-0.02510460251046025,-0.39550877326308254,-0.13407077059765513,0.00037006149043496595,-0.5543140848807631,-36.0,-794.8863977190142,0.32496513249651326,466,968,669,765,-1.3040065607746878,0.4383316723774449,0.34037200877265134,34.037200877265136,0.5292094823703029,32.49651324965133,67.50348675034867,0,1341.7,0.463,793.32
M5|5m|5/20,ETHUSD,M5,5,1434,0.03347280334728032,-0.21070632220052582,-0.07142587193238165,-0.00047475929252914365,-0.24913415007815634,47.99999999999997,-357.2583712120762,0.34449093444909346,494,940,671,763,-1.1717335232355581,0.7378246359888491,0.619030111450171,61.903011145017096,0.2826069534254366,34.449093444909344,65.55090655509066,0,1336.7,0.703,358.75
M5|5m|5/20,SOLUSD,M5,5,1664,0.03305288461538464,-0.18826356027605973,-0.06381815602578296,-0.0005635617153856471,-0.2195923934018437,55.000000000000036,-365.4017426206679,0.34435096153846156,573,1091,732,932,-1.1665188030398315,0.8079605877929954,0.66697950918747,66.697950918747,0.25264527801722836,34.43509615384615,65.56490384615384,0,1524.8,0.733,369.25
M5|5m|5/20,XRPUSD,M5,5,1573,0.06420851875397329,-0.2134837389559388,-0.07236736913760637,-0.001604420669635698,-0.2232470100092076,100.99999999999999,-351.16754674448356,0.3547361729179911,558,1015,725,848,-1.1661527999999999,0.765506291731932,0.6324499009034428,63.244990090344274,0.2874555287631809,35.47361729179911,64.52638270820088,0,1573.0,0.731,353.17
M1|5m|9/21,BTCUSD,M1,5,1398,-0.032188841201716736,-0.36320494811650006,-0.12312032139542374,0.000977990981928205,-0.5175361197317123,-45.0,-723.5154953849338,0.3218884120171674,450,948,719,679,-1.2867810769087717,0.4849455417953479,0.3799903369533268,37.99903369533268,0.48534727852999554,32.26037195994277,67.73962804005723,0,1199.2,0.486,723.16
M1|5m|9/21,ETHUSD,M1,5,1394,0.0351506456241033,-0.2044318229773582,-0.06929892304317228,0.0003860067089094567,-0.23819409368751773,49.0,-332.0425666003997,0.3450502152080344,481,913,709,685,-1.1712439022298797,0.772873842819882,0.6362537098214136,63.62537098214136,0.27334473931162107,34.50502152080344,65.49497847919655,0,1394.0,0.714,333.27
M1|5m|9/21,SOLUSD,M1,5,1683,0.003565062388591809,-0.17954662684636216,-0.06086326333774988,0.00017539545090502343,-0.23666943234461515,6.000000000000014,-398.3146546359873,0.3345216874628639,563,1120,871,812,-1.1617114687882482,0.8564283043359613,0.7189171466461776,71.89171466461775,0.240234494733207,33.45216874628639,66.54783125371361,0,1479.6,0.714,404.3
M1|5m|9/21,XRPUSD,M1,5,1448,-0.04074585635359115,-0.18960755556452513,-0.06427374764899156,0.0005375296045072872,-0.2940896299626006,-58.999999999999986,-425.84178418584565,0.3197513812154696,463,985,733,715,-1.1469328879310345,0.8759695060916309,0.7032464733288986,70.32464733288985,0.25334377360900945,31.97513812154696,68.02486187845304,0,1428.7,0.653,441.55
